word	count
said-chief	43353
world	43342
withdrew	43298
said-force	43278
was-prepared	43258
said-reckon	43244
promise	43230
said-lead	43212
said-natural	43204
happened	43176
was-shouted	43160
said-figure	43160
point	43156
flushed	43122
blinked	43112
realise	43102
commanded	43088
was-convinced	43059
jerked	43058
was-obliged	43053
conduct	43030
said-returned	43006
said-character	42982
said-evil	42966
lose	42933
resolved	42879
send	42777
stuck	42755
emerged	42731
said-strength	42696
niece	42657
brushed	42587
fists	42577
said-special	42570
said-playing	42565
said-respect	42547
commented	42512
said-pain	42487
said-ran	42463
lives	42427
hopes	42413
mumbled	42328
said-desire	42288
beat	42266
condition	42230
said-hotel	42198
grasped	42161
said-mamma	42156
said-hall	42114
said-government	42093
produced	42051
means	41983
said-gun	41979
said-written	41918
hips	41899
said-st.	41896
tapped	41893
said-glass	41837
said-common	41808
giving	41800
said-sad	41782
expect	41752
said-private	41716
silence	41701
ventured	41646
said-absolutely	41564
searched	41457
said-lunch	41450
hurt	41445
fears	41438
said-murder	41378
said-prove	41360
prayed	41333
said-la	41278
was-join	41271
said-ma'am	41245
said-enjoy	41231
brows	41230
said-holy	41187
said-ring	41181
said-worked	41168
knife	41087
said-warm	41061
pants	41005
said-goodbye	40963
said-sing	40900
said-queen	40890
said-view	40849
said-anywhere	40832
said-stick	40821
said-share	40792
said-surprise	40777
said-win	40762
said-kiss	40755
guests	40748
elbows	40732
said-pull	40718
said-ma	40647
said-madam	40623
leaning	40541
ai	40526
said-thoughts	40506
journey	40501
advanced	40464
dare	40444
coffee	40436
follow	40422
fate	40402
retired	40346
vision	40335
was-introduced	40305
clung	40298
said-saved	40280
sort	40270
was-taught	40264
was-did	40246
stands	40222
said-lad	40163
said-supper	40116
said-wrote	40107
carrying	40104
said-grace	40078
said-easily	40046
fortune	40029
seeing	40024
was-amused	40008
was-demanded	40000
flesh	39986
said-grow	39927
said-parents	39920
was-shocked	39917
said-wall	39905
said-er	39877
said-places	39875
said-willing	39860
said-prince	39846
said-advice	39837
said-pleasant	39834
said-usual	39813
movements	39809
pass	39779
smiles	39758
said-hang	39723
said-floor	39697
said-bless	39624
stirred	39560
said-lying	39545
was-approached	39501
said-forgot	39445
sisters	39400
said-teach	39387
said-situation	39364
said-winter	39325
please	39299
said-anyhow	39258
slapped	39178
said-replied	39171
direction	39162
lady	39150
state	39149
thighs	39135
said-orders	39125
persisted	39110
was-hated	39090
snatched	39083
said-fish	39029
keeps	39025
appear	39007
presented	38922
said-likes	38917
half	38891
eyelids	38805
said-answered	38800
attempted	38793
said-reach	38792
fixed	38775
said-form	38750
said-single	38734
said-box	38729
said-grand	38709
advice	38702
fancied	38686
avoided	38683
form	38618
said-experience	38607
said-admit	38599
nostrils	38593
stooped	38582
said-bank	38575
treated	38512
said-gives	38495
conscience	38465
said-proper	38458
growled	38442
said-south	38378
said-received	38354
was-hold	38346
birthday	38317
was-remarked	38302
was-said	38290
open	38256
country	38255
was-lifted	38158
said-otherwise	38141
said-hat	38086
sleeping	38082
