testype	name1	name2	acc1	acc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	meandate	ceiling	floor
cross	fantasy1950to1969v2	sf1950to1969v1	0.88125	0.86875	1.12720126771	1.27588614141	0.978516394005	0.028125	-0.04375	0.1	1959.0	1969	1950
cross	fantasy1950to1969v2	sf1950to1969v2	0.88125	0.89375	1.23559849568	1.52459731957	0.946599671795	0.04375	-0.025	0.1125	1959.0	1969	1950
cross	fantasy1950to1969v2	sf1950to1969v3	0.88125	0.9125	1.22470689207	1.44412073156	1.00529305259	0.075	-0.00625	0.15625	1959.0	1969	1950
cross	fantasy1950to1969v2	sf1950to1969v4	0.88125	0.925	1.23226595356	1.4185146206	1.04601728651	0.053125	-0.00625	0.1125	1959.0	1969	1950
fantasyself	fantasy1950to1969v3	fantasy1950to1969v0	0.9	0.89375	1.28946373408	1.28826786536	1.29065960281	-0.06875	-0.06875	-0.06875	1959.5	1969	1950
fantasyself	fantasy1950to1969v3	fantasy1950to1969v1	0.9	0.85625	1.12476626703	1.05662707512	1.19290545895	-0.078125	-0.1	-0.05625	1959.5	1969	1950
fantasyself	fantasy1950to1969v3	fantasy1950to1969v2	0.9	0.88125	1.24574774631	1.22010168204	1.27139381058	-0.065625	-0.06875	-0.0625	1959.0	1969	1950
fantasyself	fantasy1950to1969v3	fantasy1950to1969v4	0.9	0.86875	1.15358532619	1.1695744712	1.13759618118	-0.075	-0.0875	-0.0625	1959.5	1969	1950
cross	fantasy1950to1969v3	sf1950to1969v0	0.9	0.91875	1.04905293458	1.25852253732	0.83958333184	0.075	-0.00625	0.15625	1959.0	1969	1950
cross	fantasy1950to1969v3	sf1950to1969v1	0.9	0.86875	1.01205968479	1.15527759746	0.868841772123	0.059375	-0.01875	0.1375	1959.0	1969	1950
cross	fantasy1950to1969v3	sf1950to1969v2	0.9	0.89375	1.12821141327	1.28732059584	0.969102230698	0.05625	-0.01875	0.13125	1959.0	1969	1950
cross	fantasy1950to1969v3	sf1950to1969v3	0.9	0.9125	1.13430089629	1.27455551449	0.9940462781	0.075	-0.00625	0.15625	1959.0	1969	1950
cross	fantasy1950to1969v3	sf1950to1969v4	0.9	0.925	1.04580560812	1.18942233089	0.902188885356	0.075	0.01875	0.13125	1959.0	1969	1950
fantasyself	fantasy1950to1969v4	fantasy1950to1969v0	0.86875	0.89375	1.23068041512	1.2307259203	1.23063490994	-0.065625	-0.0625	-0.06875	1960.0	1969	1950
fantasyself	fantasy1950to1969v4	fantasy1950to1969v1	0.86875	0.85625	1.18186753867	1.17856354853	1.18517152881	-0.1	-0.11875	-0.08125	1960.0	1969	1950
fantasyself	fantasy1950to1969v4	fantasy1950to1969v2	0.86875	0.88125	1.20819724141	1.12604837703	1.29034610578	-0.084375	-0.08125	-0.0875	1959.5	1969	1950
fantasyself	fantasy1950to1969v4	fantasy1950to1969v3	0.86875	0.9	1.15358532619	1.13759618118	1.1695744712	-0.075	-0.0625	-0.0875	1959.5	1969	1950
cross	fantasy1950to1969v4	sf1950to1969v0	0.86875	0.91875	1.04189256829	1.25170370329	0.832081433285	0.053125	-0.01875	0.125	1959.5	1969	1950
cross	fantasy1950to1969v4	sf1950to1969v1	0.86875	0.86875	1.00697118769	1.10620248335	0.907739892027	0.009375	-0.0625	0.08125	1959.5	1969	1950
cross	fantasy1950to1969v4	sf1950to1969v2	0.86875	0.89375	1.04839226511	1.18008563689	0.916698893341	0.025	-0.05	0.1	1959.5	1969	1950
cross	fantasy1950to1969v4	sf1950to1969v3	0.86875	0.9125	1.05382862322	1.20684922606	0.900808020385	0.05625	-0.01875	0.13125	1959.5	1969	1950
cross	fantasy1950to1969v4	sf1950to1969v4	0.86875	0.925	1.04846808139	1.15000157517	0.946934587605	0.046875	-0.01875	0.1125	1959.5	1969	1950
fantasyself	fantasy1800to1899v0	fantasy1800to1899v1	0.7875	0.8	1.07413438954	1.16162638362	0.986642395467	-0.134375	-0.11875	-0.15	1875.5	1899	1800
fantasyself	fantasy1800to1899v0	fantasy1800to1899v2	0.7875	0.79375	1.05035061411	1.13482042374	0.965880804484	-0.15	-0.13125	-0.16875	1876.0	1899	1800
fantasyself	fantasy1800to1899v0	fantasy1800to1899v3	0.7875	0.79375	1.02564944041	1.03501318082	1.01628569999	-0.165625	-0.15625	-0.175	1876.0	1899	1800
fantasyself	fantasy1800to1899v0	fantasy1800to1899v4	0.7875	0.80625	1.24357639215	1.20366125455	1.28349152975	-0.134375	-0.13125	-0.1375	1875.0	1899	1800
cross	fantasy1800to1899v0	sf1800to1899v0	0.7875	0.875	0.905602856195	1.02866897232	0.782536740071	0.053125	0.04375	0.0625	1875.5	1899	1800
cross	fantasy1800to1899v0	sf1800to1899v1	0.7875	0.85625	0.890913361287	0.847358744361	0.934467978214	0.034375	0.025	0.04375	1875.5	1899	1800
cross	fantasy1800to1899v0	sf1800to1899v2	0.7875	0.875	0.921066427954	1.03966062116	0.802472234751	0.065625	0.0625	0.06875	1875.0	1899	1800
cross	fantasy1800to1899v0	sf1800to1899v3	0.7875	0.83125	0.911745105194	0.999202989761	0.824287220628	0.028125	0.0	0.05625	1875.0	1899	1800
cross	fantasy1800to1899v0	sf1800to1899v4	0.7875	0.875	0.906393780351	0.977113277225	0.835674283478	0.046875	0.0375	0.05625	1875.5	1899	1800
fantasyself	fantasy1800to1899v1	fantasy1800to1899v0	0.8	0.7875	1.07413438954	0.986642395467	1.16162638362	-0.134375	-0.15	-0.11875	1875.5	1899	1800
fantasyself	fantasy1800to1899v1	fantasy1800to1899v2	0.8	0.79375	0.941274838141	0.929200460748	0.953349215534	-0.159375	-0.15	-0.16875	1875.5	1899	1800
fantasyself	fantasy1800to1899v1	fantasy1800to1899v3	0.8	0.79375	0.885009962467	0.810384894185	0.95963503075	-0.153125	-0.15625	-0.15	1875.5	1899	1800
fantasyself	fantasy1800to1899v1	fantasy1800to1899v4	0.8	0.80625	1.10129706422	0.962932041611	1.23966208683	-0.13125	-0.14375	-0.11875	1874.5	1899	1800
cross	fantasy1800to1899v1	sf1800to1899v0	0.8	0.875	0.849365055595	1.01539943696	0.683330674227	0.03125	-0.00625	0.06875	1875.0	1899	1800
cross	fantasy1800to1899v1	sf1800to1899v1	0.8	0.85625	0.858815209616	0.885176806138	0.832453613093	0.0375	0.00625	0.06875	1875.0	1899	1800
cross	fantasy1800to1899v1	sf1800to1899v2	0.8	0.875	0.918085671495	1.04091504155	0.795256301439	0.040625	0.0125	0.06875	1874.5	1899	1800
cross	fantasy1800to1899v1	sf1800to1899v3	0.8	0.83125	0.875994901084	0.957550681219	0.794439120948	0.01875	-0.025	0.0625	1874.5	1899	1800
cross	fantasy1800to1899v1	sf1800to1899v4	0.8	0.875	0.904304163295	0.997053495398	0.811554831192	0.04375	0.01875	0.06875	1875.0	1899	1800
fantasyself	fantasy1800to1899v2	fantasy1800to1899v0	0.79375	0.7875	1.05035061411	0.965880804484	1.13482042374	-0.15	-0.16875	-0.13125	1876.0	1899	1800
fantasyself	fantasy1800to1899v2	fantasy1800to1899v1	0.79375	0.8	0.941274838141	0.953349215534	0.929200460748	-0.159375	-0.16875	-0.15	1875.5	1899	1800
fantasyself	fantasy1800to1899v2	fantasy1800to1899v3	0.79375	0.79375	1.02547610895	0.951264744074	1.09968747382	-0.153125	-0.1625	-0.14375	1876.0	1899	1800
fantasyself	fantasy1800to1899v2	fantasy1800to1899v4	0.79375	0.80625	1.00163391618	0.992678870561	1.01058896179	-0.125	-0.15625	-0.09375	1875.0	1899	1800
cross	fantasy1800to1899v2	sf1800to1899v0	0.79375	0.875	0.79240891488	0.912165099002	0.672652730757	0.065625	0.05	0.08125	1875.5	1899	1800
cross	fantasy1800to1899v2	sf1800to1899v1	0.79375	0.85625	0.746446136453	0.800372017248	0.692520255658	0.05	0.01875	0.08125	1875.5	1899	1800
cross	fantasy1800to1899v2	sf1800to1899v2	0.79375	0.875	0.818608646078	0.9633081791	0.673909113056	0.053125	0.04375	0.0625	1875.0	1899	1800
cross	fantasy1800to1899v2	sf1800to1899v3	0.79375	0.83125	0.835777282293	0.906991925139	0.764562639447	0.034375	0.0125	0.05625	1875.0	1899	1800
cross	fantasy1800to1899v2	sf1800to1899v4	0.79375	0.875	0.803700912614	0.907137806666	0.700264018563	0.05625	0.04375	0.06875	1875.5	1899	1800
fantasyself	fantasy1800to1899v3	fantasy1800to1899v0	0.79375	0.7875	1.02564944041	1.01628569999	1.03501318082	-0.165625	-0.175	-0.15625	1876.0	1899	1800
fantasyself	fantasy1800to1899v3	fantasy1800to1899v1	0.79375	0.8	0.885009962467	0.95963503075	0.810384894185	-0.153125	-0.15	-0.15625	1875.5	1899	1800
fantasyself	fantasy1800to1899v3	fantasy1800to1899v2	0.79375	0.79375	1.02547610895	1.09968747382	0.951264744074	-0.153125	-0.14375	-0.1625	1876.0	1899	1800
fantasyself	fantasy1800to1899v3	fantasy1800to1899v4	0.79375	0.80625	0.951377488155	0.946348593579	0.956406382731	-0.125	-0.1375	-0.1125	1875.0	1899	1800
cross	fantasy1800to1899v3	sf1800to1899v0	0.79375	0.875	0.745093403397	0.879730784071	0.610456022724	0.04375	0.0125	0.075	1875.5	1899	1800
cross	fantasy1800to1899v3	sf1800to1899v1	0.79375	0.85625	0.721931991004	0.734612200866	0.709251781142	0.040625	0.0	0.08125	1875.5	1899	1800
cross	fantasy1800to1899v3	sf1800to1899v2	0.79375	0.875	0.77691476204	0.981358676161	0.572470847919	0.046875	0.00625	0.0875	1875.0	1899	1800
cross	fantasy1800to1899v3	sf1800to1899v3	0.79375	0.83125	0.780102630852	0.90361482843	0.656590433275	0.034375	-0.01875	0.0875	1875.0	1899	1800
cross	fantasy1800to1899v3	sf1800to1899v4	0.79375	0.875	0.755193250801	0.868191513285	0.642194988317	0.040625	0.00625	0.075	1875.5	1899	1800
fantasyself	fantasy1800to1899v4	fantasy1800to1899v0	0.80625	0.7875	1.24357639215	1.28349152975	1.20366125455	-0.134375	-0.1375	-0.13125	1875.0	1899	1800
fantasyself	fantasy1800to1899v4	fantasy1800to1899v1	0.80625	0.8	1.10129706422	1.23966208683	0.962932041611	-0.13125	-0.11875	-0.14375	1874.5	1899	1800
fantasyself	fantasy1800to1899v4	fantasy1800to1899v2	0.80625	0.79375	1.00163391618	1.01058896179	0.992678870561	-0.125	-0.09375	-0.15625	1875.0	1899	1800
fantasyself	fantasy1800to1899v4	fantasy1800to1899v3	0.80625	0.79375	0.951377488155	0.956406382731	0.946348593579	-0.125	-0.1125	-0.1375	1875.0	1899	1800
cross	fantasy1800to1899v4	sf1800to1899v0	0.80625	0.875	0.823049780917	0.974054237529	0.672045324306	0.053125	0.03125	0.075	1874.5	1899	1800
cross	fantasy1800to1899v4	sf1800to1899v1	0.80625	0.85625	0.834710953774	0.888951405811	0.780470501736	0.0375	0.01875	0.05625	1874.5	1899	1800
cross	fantasy1800to1899v4	sf1800to1899v2	0.80625	0.875	0.861837353717	1.00228995273	0.721384754701	0.065625	0.0625	0.06875	1874.0	1899	1800
cross	fantasy1800to1899v4	sf1800to1899v3	0.80625	0.83125	0.856481645662	0.962978222571	0.749985068753	0.059375	0.04375	0.075	1874.0	1899	1800
cross	fantasy1800to1899v4	sf1800to1899v4	0.80625	0.875	0.909506185914	1.00890374043	0.810108631395	0.059375	0.05	0.06875	1874.5	1899	1800
fantasyself	fantasy1980to1989v0	fantasy1980to1989v1	0.86875	0.8625	1.22659650135	1.22832388521	1.2248691175	-0.128125	-0.1375	-0.11875	1984.5	1989	1980
fantasyself	fantasy1980to1989v0	fantasy1980to1989v2	0.86875	0.875	1.2939416035	1.25178753605	1.33609567094	-0.121875	-0.125	-0.11875	1984.5	1989	1980
fantasyself	fantasy1980to1989v0	fantasy1980to1989v3	0.86875	0.925	1.29838794485	1.32340665838	1.27336923133	-0.09375	-0.075	-0.1125	1984.0	1989	1980
fantasyself	fantasy1980to1989v0	fantasy1980to1989v4	0.86875	0.89375	1.23905273351	1.23242734857	1.24567811844	-0.109375	-0.10625	-0.1125	1984.5	1989	1980
cross	fantasy1980to1989v0	sf1980to1989v0	0.86875	0.95	1.24378296078	1.28222074272	1.20534517883	0.0125	-0.01875	0.04375	1984.5	1989	1980
cross	fantasy1980to1989v0	sf1980to1989v1	0.86875	0.95625	1.21045185682	1.23251863442	1.18838507922	0.003125	-0.00625	0.0125	1984.5	1989	1980
cross	fantasy1980to1989v0	sf1980to1989v2	0.86875	0.9375	1.2811039637	1.26688192859	1.2953259988	-0.00625	-0.0375	0.025	1984.5	1989	1980
cross	fantasy1980to1989v0	sf1980to1989v3	0.86875	0.95625	1.23114737848	1.25169322504	1.21060153193	5.55111512313e-17	-0.0125	0.0125	1984.5	1989	1980
cross	fantasy1980to1989v0	sf1980to1989v4	0.86875	0.9625	1.26151524176	1.31136231739	1.21166816613	0.009375	0.0	0.01875	1984.5	1989	1980
fantasyself	fantasy1980to1989v1	fantasy1980to1989v0	0.8625	0.86875	1.22659650135	1.2248691175	1.22832388521	-0.128125	-0.11875	-0.1375	1984.5	1989	1980
fantasyself	fantasy1980to1989v1	fantasy1980to1989v2	0.8625	0.875	1.36285553082	1.29604898151	1.42966208013	-0.13125	-0.125	-0.1375	1985.0	1989	1980
fantasyself	fantasy1980to1989v1	fantasy1980to1989v3	0.8625	0.925	1.40153746064	1.41510723474	1.38796768653	-0.090625	-0.0625	-0.11875	1984.5	1989	1980
fantasyself	fantasy1980to1989v1	fantasy1980to1989v4	0.8625	0.89375	1.31604256523	1.27363022481	1.35845490565	-0.11875	-0.10625	-0.13125	1985.0	1989	1980
cross	fantasy1980to1989v1	sf1980to1989v0	0.8625	0.95	1.25271368337	1.24955954752	1.25586781922	0.01875	0.01875	0.01875	1985.0	1989	1980
cross	fantasy1980to1989v1	sf1980to1989v1	0.8625	0.95625	1.21008554815	1.23581432404	1.18435677226	0.003125	0.0125	-0.00625	1985.0	1989	1980
cross	fantasy1980to1989v1	sf1980to1989v2	0.8625	0.9375	1.24396929771	1.21146251962	1.27647607581	-0.003125	-0.0125	0.00625	1985.0	1989	1980
cross	fantasy1980to1989v1	sf1980to1989v3	0.8625	0.95625	1.22690736762	1.23068546953	1.2231292657	0.003125	0.0125	-0.00625	1985.0	1989	1980
cross	fantasy1980to1989v1	sf1980to1989v4	0.8625	0.9625	1.27049617062	1.28477617877	1.25621616247	0.015625	0.03125	0.0	1985.0	1989	1980
fantasyself	fantasy1980to1989v2	fantasy1980to1989v0	0.875	0.86875	1.2939416035	1.33609567094	1.25178753605	-0.121875	-0.11875	-0.125	1984.5	1989	1980
fantasyself	fantasy1980to1989v2	fantasy1980to1989v1	0.875	0.8625	1.36285553082	1.42966208013	1.29604898151	-0.13125	-0.1375	-0.125	1985.0	1989	1980
fantasyself	fantasy1980to1989v2	fantasy1980to1989v3	0.875	0.925	1.50805381106	1.60754750789	1.40856011424	-0.084375	-0.0625	-0.10625	1984.5	1989	1980
fantasyself	fantasy1980to1989v2	fantasy1980to1989v4	0.875	0.89375	1.35616982502	1.36736786735	1.34497178269	-0.115625	-0.10625	-0.125	1985.0	1989	1980
cross	fantasy1980to1989v2	sf1980to1989v0	0.875	0.95	1.25047038966	1.30790241104	1.19303836829	0.0125	0.0125	0.0125	1985.0	1989	1980
cross	fantasy1980to1989v2	sf1980to1989v1	0.875	0.95625	1.22293343004	1.2939165121	1.15195034799	0.00625	0.0125	0.0	1985.0	1989	1980
cross	fantasy1980to1989v2	sf1980to1989v2	0.875	0.9375	1.26931414753	1.30146600811	1.23716228695	-0.003125	-0.0125	0.00625	1985.0	1989	1980
cross	fantasy1980to1989v2	sf1980to1989v3	0.875	0.95625	1.23398967681	1.29960921469	1.16837013893	0.009375	0.01875	0.0	1985.0	1989	1980
cross	fantasy1980to1989v2	sf1980to1989v4	0.875	0.9625	1.30787724089	1.38075561419	1.23499886759	0.01875	0.0375	0.0	1985.0	1989	1980
fantasyself	fantasy1980to1989v3	fantasy1980to1989v0	0.925	0.86875	1.29838794485	1.27336923133	1.32340665838	-0.09375	-0.1125	-0.075	1984.0	1989	1980
fantasyself	fantasy1980to1989v3	fantasy1980to1989v1	0.925	0.8625	1.40153746064	1.38796768653	1.41510723474	-0.090625	-0.11875	-0.0625	1984.5	1989	1980
fantasyself	fantasy1980to1989v3	fantasy1980to1989v2	0.925	0.875	1.50805381106	1.40856011424	1.60754750789	-0.084375	-0.10625	-0.0625	1984.5	1989	1980
fantasyself	fantasy1980to1989v3	fantasy1980to1989v4	0.925	0.89375	1.39219920116	1.37209650725	1.41230189507	-0.071875	-0.0875	-0.05625	1984.5	1989	1980
cross	fantasy1980to1989v3	sf1980to1989v0	0.925	0.95	1.25053964484	1.29695397707	1.20412531261	0.028125	-0.01875	0.075	1984.5	1989	1980
cross	fantasy1980to1989v3	sf1980to1989v1	0.925	0.95625	1.23848725917	1.30013261613	1.17684190221	0.021875	-0.0125	0.05625	1984.5	1989	1980
cross	fantasy1980to1989v3	sf1980to1989v2	0.925	0.9375	1.28442332382	1.29081641468	1.27803023296	0.00625	-0.0375	0.05	1984.5	1989	1980
cross	fantasy1980to1989v3	sf1980to1989v3	0.925	0.95625	1.23688527923	1.27103634288	1.20273421557	0.01875	-0.00625	0.04375	1984.5	1989	1980
cross	fantasy1980to1989v3	sf1980to1989v4	0.925	0.9625	1.34246182423	1.40033591434	1.28458773412	0.028125	0.0	0.05625	1984.5	1989	1980
fantasyself	fantasy1980to1989v4	fantasy1980to1989v0	0.89375	0.86875	1.23905273351	1.24567811844	1.23242734857	-0.109375	-0.1125	-0.10625	1984.5	1989	1980
fantasyself	fantasy1980to1989v4	fantasy1980to1989v1	0.89375	0.8625	1.31604256523	1.35845490565	1.27363022481	-0.11875	-0.13125	-0.10625	1985.0	1989	1980
fantasyself	fantasy1980to1989v4	fantasy1980to1989v2	0.89375	0.875	1.35616982502	1.34497178269	1.36736786735	-0.115625	-0.125	-0.10625	1985.0	1989	1980
fantasyself	fantasy1980to1989v4	fantasy1980to1989v3	0.89375	0.925	1.39219920116	1.41230189507	1.37209650725	-0.071875	-0.05625	-0.0875	1984.5	1989	1980
cross	fantasy1980to1989v4	sf1980to1989v0	0.89375	0.95	1.22491932004	1.20698526182	1.24285337826	0.046875	0.0375	0.05625	1985.0	1989	1980
cross	fantasy1980to1989v4	sf1980to1989v1	0.89375	0.95625	1.2542614028	1.23612040991	1.27240239568	0.028125	0.0375	0.01875	1985.0	1989	1980
cross	fantasy1980to1989v4	sf1980to1989v2	0.89375	0.9375	1.28003372977	1.2251094971	1.33495796244	0.0125	-0.00625	0.03125	1985.0	1989	1980
cross	fantasy1980to1989v4	sf1980to1989v3	0.89375	0.95625	1.24394754034	1.23139375658	1.25650132409	0.034375	0.04375	0.025	1985.0	1989	1980
cross	fantasy1980to1989v4	sf1980to1989v4	0.89375	0.9625	1.26347428232	1.28014922496	1.24679933968	0.03125	0.04375	0.01875	1985.0	1989	1980
fantasyself	fantasy1990to1999v0	fantasy1990to1999v1	0.825	0.86875	1.31088051659	1.43315922173	1.18860181145	-0.14375	-0.125	-0.1625	1995.0	1999	1990
fantasyself	fantasy1990to1999v0	fantasy1990to1999v2	0.825	0.85625	1.32981816459	1.42430122182	1.23533510735	-0.146875	-0.13125	-0.1625	1995.0	1999	1990
fantasyself	fantasy1990to1999v0	fantasy1990to1999v3	0.825	0.86875	1.36892856791	1.41731129972	1.3205458361	-0.140625	-0.11875	-0.1625	1995.0	1999	1990
fantasyself	fantasy1990to1999v0	fantasy1990to1999v4	0.825	0.86875	1.40506157004	1.55402311495	1.25610002513	-0.140625	-0.11875	-0.1625	1995.0	1999	1990
cross	fantasy1990to1999v0	sf1990to1999v0	0.825	0.8625	1.14038093129	1.17709151476	1.10367034782	-0.028125	0.0	-0.05625	1995.0	1999	1990
cross	fantasy1990to1999v0	sf1990to1999v1	0.825	0.88125	1.17193512384	1.25359283269	1.09027741499	-0.025	0.0125	-0.0625	1994.5	1999	1990
cross	fantasy1990to1999v0	sf1990to1999v2	0.825	0.88125	1.21418556486	1.21758380773	1.21078732199	0.009375	0.025	-0.00625	1995.0	1999	1990
cross	fantasy1990to1999v0	sf1990to1999v3	0.825	0.8625	1.26043332454	1.24722554701	1.27364110207	-0.028125	-0.00625	-0.05	1994.5	1999	1990
cross	fantasy1990to1999v0	sf1990to1999v4	0.825	0.875	1.10511474214	1.20819150243	1.00203798186	-0.021875	0.00625	-0.05	1995.0	1999	1990
fantasyself	fantasy1990to1999v1	fantasy1990to1999v0	0.86875	0.825	1.31088051659	1.18860181145	1.43315922173	-0.14375	-0.1625	-0.125	1995.0	1999	1990
fantasyself	fantasy1990to1999v1	fantasy1990to1999v2	0.86875	0.85625	1.38066013216	1.37375050857	1.38756975575	-0.121875	-0.125	-0.11875	1995.0	1999	1990
fantasyself	fantasy1990to1999v1	fantasy1990to1999v3	0.86875	0.86875	1.37480565863	1.29121983939	1.45839147787	-0.115625	-0.1125	-0.11875	1995.0	1999	1990
fantasyself	fantasy1990to1999v1	fantasy1990to1999v4	0.86875	0.86875	1.4476154745	1.43209630621	1.46313464279	-0.121875	-0.11875	-0.125	1995.0	1999	1990
cross	fantasy1990to1999v1	sf1990to1999v0	0.86875	0.8625	1.13278383781	1.16637729762	1.09919037801	-0.025	-0.03125	-0.01875	1995.0	1999	1990
cross	fantasy1990to1999v1	sf1990to1999v1	0.86875	0.88125	1.18969492152	1.2039512487	1.17543859434	-0.021875	-0.01875	-0.025	1994.5	1999	1990
cross	fantasy1990to1999v1	sf1990to1999v2	0.86875	0.88125	1.18289128244	1.17023238869	1.19555017619	0.0125	-0.00625	0.03125	1995.0	1999	1990
cross	fantasy1990to1999v1	sf1990to1999v3	0.86875	0.8625	1.24089538397	1.18145321396	1.30033755398	-0.01875	-0.025	-0.0125	1994.5	1999	1990
cross	fantasy1990to1999v1	sf1990to1999v4	0.86875	0.875	1.09864770879	1.1646264528	1.03266896478	-0.0125	-0.0125	-0.0125	1995.0	1999	1990
fantasyself	fantasy1990to1999v2	fantasy1990to1999v0	0.85625	0.825	1.32981816459	1.23533510735	1.42430122182	-0.146875	-0.1625	-0.13125	1995.0	1999	1990
fantasyself	fantasy1990to1999v2	fantasy1990to1999v1	0.85625	0.86875	1.38066013216	1.38756975575	1.37375050857	-0.121875	-0.11875	-0.125	1995.0	1999	1990
fantasyself	fantasy1990to1999v2	fantasy1990to1999v3	0.85625	0.86875	1.37763050358	1.30054256425	1.45471844291	-0.125	-0.11875	-0.13125	1995.0	1999	1990
fantasyself	fantasy1990to1999v2	fantasy1990to1999v4	0.85625	0.86875	1.4204334993	1.46857691175	1.37229008685	-0.13125	-0.125	-0.1375	1995.0	1999	1990
cross	fantasy1990to1999v2	sf1990to1999v0	0.85625	0.8625	1.1222141122	1.10710931729	1.1373189071	-0.021875	-0.0125	-0.03125	1995.0	1999	1990
cross	fantasy1990to1999v2	sf1990to1999v1	0.85625	0.88125	1.14432631007	1.17238473862	1.11626788152	-0.025	-0.0125	-0.0375	1994.5	1999	1990
cross	fantasy1990to1999v2	sf1990to1999v2	0.85625	0.88125	1.19033452149	1.14456904373	1.23609999926	0.0125	0.00625	0.01875	1995.0	1999	1990
cross	fantasy1990to1999v2	sf1990to1999v3	0.85625	0.8625	1.21661975021	1.13789092203	1.2953485784	-0.0375	-0.025	-0.05	1994.5	1999	1990
cross	fantasy1990to1999v2	sf1990to1999v4	0.85625	0.875	1.07911121869	1.12628658599	1.0319358514	-0.01875	-0.0125	-0.025	1995.0	1999	1990
fantasyself	fantasy1990to1999v3	fantasy1990to1999v0	0.86875	0.825	1.36892856791	1.3205458361	1.41731129972	-0.140625	-0.1625	-0.11875	1995.0	1999	1990
