docid	diff	firstpub	author	title
uc2.ark+=13960=t1ng4jj41	-0.640835014328	1914	Warner, Anne	Sunshine Jane
njp.32101064919622	-0.109532031237	1913	Mayor, F. M	The third Miss Symons
uc2.ark+=13960=t9m32pb4b	0.0496959569146	1922	Henney, Nella Braddy	Masterpieces of adventure
mdp.39015000575525_1	-0.0190812554567	1910	Doyle, Arthur Conan	The best science fiction of Arthur Conan Doyle
uc2.ark+=13960=t57d2qn7t_1	-0.378651239872	1914	Kyne, Peter B	The long chance
inu.32000005497468_0	-0.288212337357	1927	Hilton, James	Terry, | $c: by James Hilton.
uc2.ark+=13960=t3125rf7t_1	-0.117323811478	1921	Dell, Floyd	The briary-bush
nyp.33433074896212	0.101713635651	1915	MacLeod, Anna Mary	The Washington Randolphs and their friends;
mdp.39015000575525_0	0.198040235646	1910	Doyle, Arthur Conan	The best science fiction of Arthur Conan Doyle
uc1.32106014315219_0	-0.120206064938	1931	Charteris, Leslie	The last hero.
uc2.ark+=13960=t4cn71p8r_0	0.378022899115	1920	Bazin, Ren??	Pierre & Joseph
osu.32435016457657_0	0.818847783679	1923	Renard, Maurice	New bodies for old, | $c: by Maurice Renard.
wu.89006523229_0	0.181440452427	1918	Thompson, Leigh	The lion and the adder
uc1.b3940366_1	0.0138654666711	1912	Garshin, V. M	The signal
uc1.32106005794125_3	-0.211787939289	1923	Wells, H. G	28 science fiction stories.
uc2.ark+=13960=t7sn01t31_0	0.167418075151	1922	Oppenheim, E. Phillips	The great Prince Shan
uc1.$b614959	0.251798382326	1928	Frank, Leonhard	The cause of the crime / | $c: by Leonhard Frank.
wu.89006523229_1	0.0601731990255	1918	Thompson, Leigh	The lion and the adder
uc1.b3160554_0	0.699130633502	1912	Moorcock, Michael	Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1
uc1.b3324205_0	-0.486572432005	1913	Cullum, Ridgwell	The night-riders;
mdp.39015001407249_1	-0.410223261775	1936	��apek, Karel	War with the newts. | $c: Translated by M. & R. Weatherall. With an introd. by Lewis Gannett.
uc2.ark+=13960=t48p5x45j_1	-0.398892565671	1922	Lee, Jennette	The rain-coat girl
nyp.33433076063985_1	0.0472394441003	1914	Sullivan, Margaret Davies	Goddess of the dawn
uva.x030832515_1	-0.149675144856	1914	Henry, O	The four million
uc1.$b236260_0	-0.250252408794	1933	Galsworthy, John	Over the river, | $c: by John Galsworthy.
uc1.b3416826_0	-0.318304914753	1929	Fauset, Jessie Redmon	Plum bun, | a novel without a moral, | $c: by Jessie Redmon Fauset.
mdp.39015004847813_1	-0.182334499538	1928	nan	Thanksgiving day in modern story / | $c: edited by Maud Van Buren and Katharine Isabel Bemis.
uc2.ark+=13960=t0xp6wd0g_0	-0.188474923745	1922	Roy, Lillian Elizabeth	Polly in New York
uc2.ark+=13960=t8pc2vj1r_1	-0.0292212692862	1916	Benecke, Else C. M	More tales by Polish authors
uc2.ark+=13960=t5n87bp31_1	0.488573767616	1919	Roberts, Charles G. D	In the morning of time
mdp.39015030223849_1	1.27184591509	1918	Berger, Marcel	The secret of the Marne;
mdp.39015011249755_2	-0.486919988191	1938	Asimov, Isaac	Before the Golden Age; | a science fiction anthology of the 1930s.
dul1.ark+=13960=t6j10qz2z_1	-0.567354074478	1920	Hastings, Milo	City of endless night
njp.32101037019146	-0.99029772652	1923	McAlmon, Robert	Post-adolescence / | $c: Robert McAlmon.
uc2.ark+=13960=t10p0wz08_1	0.754453459469	1920	Burroughs, Edgar Rice	Tarzan the untamed
uc1.32106019365698_1	-0.0718121824383	1927	Phillpotts, Eden	Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.
uc1.32106015585968_1	-0.306422315713	1927	(Aleksandra), Kollontaĭ, A	Red love, | $c: by Alexandra Kollontay.
uc1.32106019365698_0	-0.211097898001	1927	Phillpotts, Eden	Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.
uc2.ark+=13960=t10p0wz08_0	1.09677805146	1920	Burroughs, Edgar Rice	Tarzan the untamed
nyp.33433076068612_1	0.52010830635	1921	Grey, Zane	To the last man;
