docid	diff	firstpub	author	title
uc1.b4562654_1	-0.283113979646	1946	Healy, Raymond J	Adventures in time and space, | an anthology of modern science-fiction stories, | $c: edited by Raymond J. Healy and J. Francis McComas.
uc1.$b244812_1	-0.151381184643	1951	Shohet, Jacqueline	Jacob's ladder.
mdp.39015003498436_2	0.749266936063	1965	nan	The Magazine of fantasy and science fiction : | a 30-year retrospective
mdp.39015014862505_0	0.0427248197995	1968	Yglesias, Jose	An orderly life.
mdp.49015001037275_1	0.167070541267	1952	Asimov, Isaac	Foundation and empire
uc1.$b101738_1	-0.486485643825	1957	Mantley, John	The 27th day.
uc1.$b103926_1	-0.143379318047	1956	Huntington, Gladys Parish	Madame Solario; | [a novel]
mdp.39015014136587_0	-0.00344266603682	1956	Pohl, Frederik	Undersea fleet
pst.000031216067_0	0.0182251878565	1958	Farmer, Philip Jos̩	The classic Philip Jos̩ Farmer, 1952-1964
uc1.b4094480_0	-0.0574456840528	1957	Wyndham, John	The Midwich cuckoos, | $c: by John Wyndham.
uc1.$b785392_0	-0.325194059023	1960	Astley, Thea	A descant for gossips, | a novel.
mdp.39015029191478_1	-0.0697482627243	1957	Silverberg, Robert	The collected stories of Robert Silverberg.
pst.000044217853_0	-0.425086999432	1962	Burgess, Anthony	A clockwork orange
mdp.39015029412296_1	0.0259987555936	1969	nan	The best SF stories from New Worlds,#2.
uc1.b3810942_1	-1.41055306705	1957	Cloete, Stuart	The mask.
mdp.39015016454616_2	0.0437989286372	1959	Bonner, Paul	The art of Llewellyn Jones.
uc1.32106015120998_1	1.11909729577	1956	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
mdp.39015002288721_0	-0.0536537192791	1951	Asimov, Isaac	The stars, like dust.
uc1.$b87329_0	-0.428546912826	1947	Franklin, Miles	All that swagger, | $c: by Miles Franklin.
pst.000021946516_1	-0.0484009805492	1966	Dick, Philip K	We can remember it for you wholesale
uc1.$b391245_0	0.126938449769	1968	Bharucha, Perin	The fire worshippers.
mdp.39015002756883_1	0.359355776076	1953	Saroyan, William	The laughing matter : | a novel / | $c: by William Saroyan.
pst.000029279036_3	-1.38774284333	1941	nan	Three famous murder novels : | complete and unabridged / | $c: Selected, and with an introd. by Bennett A. Cerf.
mdp.39015009199327_1	-0.0217883539228	1949	Stewart, George R	Earth abides
mdp.39015016454616_1	-0.0538269415187	1959	Bonner, Paul	The art of Llewellyn Jones.
mdp.39015006398542_0	0.420538559181	1946	Donovan, Frank Pierce	Headlights and markers; | an anthology of railroad stories, | $c: edited by Frank P. Donovan, jr., and Robert Selph Henry. New York, Creative age press, inc. _1946_
osu.32435064823644_1	0.102389185571	1953	Gotshall, Jack	Pappy and the promised land / | $c: by Jack Gotshall.
osu.32435053306007_1	0.994241926526	1963	Brown, Rosel George	A handful of time
mdp.39015038917210	0.763437766475	1952	Slobodkin, Louis	The space ship under the apple tree
wu.89070951728_1	-0.530194885053	1942	Woods, William Howard	The edge of darkness, | $c: by William Woods.
uc1.b3132896_0	-0.0987427536882	1942	Speare, Morris Edmund	World's great short stories; | masterpieces of American, English and continental literature, | $c: edited, with an introduction, by M.E. Speare ...
uc1.$b285096_1	-0.0748788390895	1963	Maugham, W. Somerset (William Somerset)	Husbands and wives : | nine stories / | $c: by W. Somerset Maugham ; selected and with an introd. by Richard A. Cordell.
mdp.39015030931284_1	-0.160059973591	1949	Derleth, August William	The other side of the moon. | [Stories]
mdp.39015005888147_1	-0.0744399267093	1969	Pohl, Frederik	The Starchild trilogy
inu.30000092015605_0	-0.235766007977	1967	Hamalian, Leo	Seven Russian short novel masterpieces, | $c: edited, with notes and introd., by Leo Hamalian and Vera Von Wiren-Garczynski.
osu.32435000716878_2	-0.56384011104	1940	Hichens, Robert (Robert Smythe)	That which is hidden, | a novel.
mdp.39015030846771_0	-0.400396538355	1969	Bowen, Elizabeth	Ann Lee's: | & other stories.
mdp.39076000903778_0	0.149109817164	1965	nan	Nebula award stories
mdp.39015010321076_0	-0.615130023893	1967	Davies, L. P. (Leslie Purnell)	Psychogeist | $c: [by] L. P. Davies.
mdp.39015001153728_0	-0.189963184783	1942	Faulkner, William	Go down, Moses, | and other stories, | $c: by William Faulkner.
mdp.39015030699121_0	0.900234275079	1950	Rich, Louise Dickinson	My neck of the woods.
mdp.39015008199468_0	-0.0555068058799	1969	Anderson, Poul	Satan's world.
mdp.39015067116254_1	-0.0550627006366	1941	Buck, Frank	All in a lifetime, | $c: by Frank Buck, with Ferrin Fraser.
uc1.$b299909_1	0.106285627622	1945	Cunningham, Albert Benjamin	Death visits the apple hole.
uc1.$b81528_1	-0.170605912725	1960	Morris, Wright	Ceremony in Lone Tree.
osu.32435053363990_0	-0.387632970464	1960	Leinster, Murray	The aliens
mdp.39015027552358_0	-0.556965731984	1968	Greenleaf, Margery	Banner over me; | a tale of the Norman Conquest. | $c: Illustrated by Charles Mikolaycak.
uc1.$b299909_0	0.264258570221	1945	Cunningham, Albert Benjamin	Death visits the apple hole.
mdp.39076000903760_0	-0.233482209066	1965	nan	Nebula award stories
mdp.39015016454616_0	0.206525950849	1959	Bonner, Paul	The art of Llewellyn Jones.
mdp.39015005753077_0	0.838827920633	1965	Amis, Kingsley	The Egyptologists; | a novel, | $c: by Kingsley Amis and Robert Conquest.
mdp.39015001153728_1	-0.253503722512	1942	Faulkner, William	Go down, Moses, | and other stories, | $c: by William Faulkner.
uc1.b3435509_0	0.443124027661	1962	Christopher, John	The world in winter
mdp.39015014137973_0	0.0154377525227	1968	Leiber, Fritz	Gather, darkness!
inu.30000029816976_2	0.231779804352	1962	Dick, Philip K	The collected stories of Philip K. Dick
mdp.39015003498436_0	0.993028461983	1965	nan	The Magazine of fantasy and science fiction : | a 30-year retrospective
uc1.b3473021_0	0.175382912738	1969	Harrison, Harry	Best SF: 1968. | $c: Edited by Harry Harrison and Brian W. Aldiss.
uc1.$b87002_1	-0.641936434687	1943	Buck, Pearl S. (Pearl Sydenstricker)	The promise, | $c: by Pearl S. Buck.
uc1.b3541070_0	0.047627623888	1946	Conklin, Groff	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.
uc1.$b105503_0	-0.640789389407	1959	Slaughter, Frank G. (Frank Gill)	The thorn of Arimathea.
mdp.39015062064459_1	0.155166173361	1959	Hoyle, Fred, Sir	Ossian's ride.
mdp.39015030945789_1	0.318604060548	1957	Anderson, Poul	Earthman's burden
pst.000058048559_1	0.452773488263	1949	Heinlein, Robert A. (Robert Anson)	The day after tomorrow
osu.32435064818578_1	-0.0764719199998	1946	Dern, Peggy	Heart's home / | $c: by Peggy Dern.
uc1.32106002114343_0	0.934493977052	1964	Heinlein, Robert A. (Robert Anson)	Farnham's freehold; | $c: a novel by Robert A. Heinlein.
mdp.39015029191478_2	0.00447767074856	1957	Silverberg, Robert	The collected stories of Robert Silverberg.
mdp.49015001037275_0	-0.0136963474207	1952	Asimov, Isaac	Foundation and empire
uc1.b4382620_1	-0.486187049227	1945	Hecht, Ben	The collected stories of Ben Hecht, | $c: prefaced by Some introductory thoughts by the author
uc1.32106015120998_0	0.294264467013	1956	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
pst.000044193720_3	0.0822847783502	1964	Ludwig, Richard M	9 short novels / | $c: edited by Richard M. Ludwig and Marvin B. Perry, Jr.
pst.000032467581_1	0.297957981419	1941	White, Patrick	The living and the dead / | $c: Patrick White.
mdp.39015010450529_2	0.278357517517	1966	Heinlein, Robert A. (Robert Anson)	The moon is a harsh mistress
mdp.39015016450234_1	0.760520647449	1965	Brunner, John	The squares of the city
osu.32435000716878_1	-0.511225841114	1940	Hichens, Robert (Robert Smythe)	That which is hidden, | a novel.
uc1.$b114431_0	-0.577419117412	1953	Scoggin, Margaret Clara	Battle stations; | true stories of men in war.
uc1.$b85988_0	-0.154504297913	1944	Best, Herbert	Young'un / | $c: by Herbert Best.
mdp.39015064103032_0	0.0594658996452	1964	nan	Things
inu.30000029816976_0	-0.254687020638	1962	Dick, Philip K	The collected stories of Philip K. Dick
osu.32435053307864_0	-0.260876336181	1953	Campbell, John W., (John Wood), Jr	The black star passes
uc1.$b348189_3	-0.156966621956	1946	Conklin, Groff	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.
pst.000029279036_0	0.305638781411	1941	nan	Three famous murder novels : | complete and unabridged / | $c: Selected, and with an introd. by Bennett A. Cerf.
uc1.$b799823_1	1.2146884422	1946	Hough, Donald	The camelephamoose | $c: [by] Donald Hough.
mdp.39015005896660_0	0.107656965523	1960	Pohl, Frederik	Star of stars.
uc1.32106014453754_0	0.195772304118	1963	Carr, John Dickson	The men who explained miracles; | six short stories and a novelette
uc1.$b115475_1	-0.0527973841179	1966	Patterson, Samuel H	A nickel's worth of ice | $c: [by] Sam Patterson.
uc1.b3545502_1	0.14595703983	1954	Merril, Judith	Beyond the barriers of space and time.
pst.000031216067_1	-0.476034370664	1958	Farmer, Philip Jos̩	The classic Philip Jos̩ Farmer, 1952-1964
uc1.$b115475_0	-0.13012006625	1966	Patterson, Samuel H	A nickel's worth of ice | $c: [by] Sam Patterson.
mdp.39015030699121_1	0.913875121074	1950	Rich, Louise Dickinson	My neck of the woods.
mdp.39015030931284_0	-0.255003803483	1949	Derleth, August William	The other side of the moon. | [Stories]
uc1.$b242926_1	-0.550096331783	1952	Hanley, James	The closed harbor.
mdp.39015008828157_1	-0.401783377723	1950	Vance, Jack	The dying earth
uc1.$b400794_1	-0.397141870658	1954	Slonim, Marc	Modern Italian short stories.
uc1.$b100790_0	-0.27453651942	1954	Harwood, Alice	The strangeling, | a Victorian novel.
uc1.$b85988_1	-0.0315314914202	1944	Best, Herbert	Young'un / | $c: by Herbert Best.
mdp.39015069174269_0	0.548714223157	1949	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
uc1.b4382620_2	-0.020094645558	1945	Hecht, Ben	The collected stories of Ben Hecht, | $c: prefaced by Some introductory thoughts by the author
uc1.$b244812_2	-0.106644137977	1951	Shohet, Jacqueline	Jacob's ladder.
mdp.39015003678128_1	0.569205220836	1963	Fuller, Edmund	The corridor.
mdp.39015016435409_1	0.194368614272	1957	Kennedy, Margaret	The heroes of Clone.
uc1.$b87329_2	-0.200406767925	1947	Franklin, Miles	All that swagger, | $c: by Miles Franklin.
mdp.39015008724802_0	1.43838051273	1967	Merril, Judith	SF; the best of the best.
uc1.$b785374_0	-0.377656101834	1967	Joseph, M. K	The hole in the zero:
osu.32435063296008_0	0.36631048689	1942	Boucher, Anthony	Rocket to the morgue 
mdp.39015005093474_1	-0.38045702869	1957	Powell, Anthony	At Lady Molly's.
uc1.$b601378_1	0.00733368055977	1947	Haines, William Wister	Command decision, | $c: by William Wister Haines ...
mdp.39015003472407_1	0.164033661562	1956	Auchincloss, Louis	The great world and Timothy Colt.
uc1.$b101738_0	-0.312793553075	1957	Mantley, John	The 27th day.
pst.000044193720_1	-0.0347482431192	1964	Ludwig, Richard M	9 short novels / | $c: edited by Richard M. Ludwig and Marvin B. Perry, Jr.
uc1.b4382620_0	0.383159983542	1945	Hecht, Ben	The collected stories of Ben Hecht, | $c: prefaced by Some introductory thoughts by the author
mdp.39015027552358_1	-1.20056221132	1968	Greenleaf, Margery	Banner over me; | a tale of the Norman Conquest. | $c: Illustrated by Charles Mikolaycak.
inu.32000014416269	-1.50484622442	1952	Salmon, E. Marling	Beyond the call of duty : | African deeds of bravery in wartime.
uc1.b4350644_0	-0.0248318277774	1966	Phillips, J. J	Mojo hand.
uc1.$b322746_0	-0.180458446822	1952	Baker, George Edward	Son of Hylas.
mdp.39015056246211_1	0.839340861781	1958	Bester, Alfred	Starburst
mdp.39015056246211_0	0.31220882189	1958	Bester, Alfred	Starburst
pst.000001681314_1	-1.02595237192	1950	Sutcliff, Rosemary	The Chronicles of Robin Hood / | $c: Illustrated by C. Walter Hodges.
uc1.$b312714_1	0.0672760779179	1947	Tyre, Nedra	Red wine first.
uc1.b3347098_0	0.409958362417	1954	Shafer, Robert Jones	The conquered place.
uc1.$b87098_0	-0.578691268144	1952	Charques, Dorothy	Men like shadows.
pst.000058048559_0	0.292729117142	1949	Heinlein, Robert A. (Robert Anson)	The day after tomorrow
mdp.39015052467530_0	0.234475653775	1969	Le Guin, Ursula K	The left hand of darkness
uc1.$b785392_1	-0.0335315016734	1960	Astley, Thea	A descant for gossips, | a novel.
uc1.b4363412_0	-0.385408990166	1969	Konwicki, Tadeusz	A dreambook for our time. | $c: Translated by David Welsh.
uc1.32106015121020_1	0.094815425721	1952	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
uc1.$b119532_1	-0.511771215365	1968	Saville, Malcolm	Power of three.
uc1.b4097965_1	-0.346163929957	1953	Bowen, Robert O	Bamboo.
mdp.39015042474877_1	-0.884730413218	1966	Vance, Jack	The complete dying earth
mdp.39015005888147_0	0.135734778844	1969	Pohl, Frederik	The Starchild trilogy
mdp.39015004269125	-0.181402236538	1952	Queffélec, Henri	Island priest; | $c: translated from the French by James Whitall.
