"testype"	"name1"	"name2"	"ceiling"	"floor"	"meandate1"	"meandate2"	"acc1"	"acc2"	"alienacc1"	"alienacc2"	"spearman"	"spear1on2"	"spear2on1"	"loss"	"loss1on2"	"loss2on1"	"iteration"
"fantasyself"	"temp_fant11924_6"	"temp_fant21924_6"	1924	1880	1902.97916667	1902.88194444	0.7986111111	0.8333333333	0.8125	0.8402777778	1.1528813845	1.1876121383	1.1181506307	-0.0104166667	-0.0069444444	-0.0138888889	6
"cross"	"temp_sf11924_6"	"temp_fant21924_6"	1924	1880	1903.49305556	1902.88194444	0.8888888889	0.8333333333	0.8263888889	0.6944444444	0.7307419167	0.7541623555	0.7073214778	0.1006944444	0.1388888889	0.0625	6
"cross"	"temp_sf21924_6"	"temp_fant11924_6"	1924	1880	1900.40277778	1902.97916667	0.9166666667	0.7986111111	0.8194444444	0.7013888889	0.8920400952	0.9384971031	0.8455830873	0.0972222222	0.0972222222	0.0972222222	6
"sfself"	"temp_sf11924_7"	"temp_sf21924_7"	1924	1880	1900.14583333	1904.09027778	0.8472222222	0.8680555556	0.8194444444	0.8611111111	1.4435824771	1.5367380753	1.350426879	0.0173611111	0.0069444444	0.0277777778	7
"fantasyself"	"temp_fant11924_7"	"temp_fant21924_7"	1924	1880	1900.39583333	1904.20833333	0.7986111111	0.8472222222	0.7638888889	0.8333333333	0.9543015656	0.9732582886	0.9353448427	0.0243055556	0.0138888889	0.0347222222	7
"cross"	"temp_sf11924_7"	"temp_fant21924_7"	1924	1880	1900.14583333	1904.20833333	0.8472222222	0.8472222222	0.7777777778	0.7291666667	0.9597232462	0.9470607202	0.9723857723	0.09375	0.1180555556	0.0694444444	7
"cross"	"temp_sf21924_7"	"temp_fant11924_7"	1924	1880	1904.09027778	1900.39583333	0.8680555556	0.7986111111	0.8611111111	0.6666666667	0.9342945143	0.7611623731	1.1074266555	0.0694444444	0.1319444444	0.0069444444	7
"sfself"	"temp_sf11924_8"	"temp_sf21924_8"	1924	1880	1903.75694444	1901.35416667	0.8402777778	0.8611111111	0.7986111111	0.8541666667	1.0984496938	1.1908606257	1.0060387618	0.0243055556	0.0069444444	0.0416666667	8
"fantasyself"	"temp_fant11924_8"	"temp_fant21924_8"	1924	1880	1903.64583333	1903.40277778	0.8402777778	0.7708333333	0.8194444444	0.7638888889	1.1846194592	0.9830907913	1.3861481272	0.0138888889	0.0069444444	0.0208333333	8
"cross"	"temp_sf11924_8"	"temp_fant21924_8"	1924	1880	1903.75694444	1903.40277778	0.8402777778	0.7708333333	0.7638888889	0.7361111111	0.7617764931	0.7912117257	0.7323412605	0.0555555556	0.0347222222	0.0763888889	8
"cross"	"temp_sf21924_8"	"temp_fant11924_8"	1924	1880	1901.35416667	1903.64583333	0.8611111111	0.8402777778	0.7777777778	0.7777777778	0.9578581783	1.0540125522	0.8617038043	0.0729166667	0.0625	0.0833333333	8
"sfself"	"temp_sf11924_9"	"temp_sf21924_9"	1924	1880	1902.78472222	1900.86111111	0.8958333333	0.8055555556	0.8263888889	0.7777777778	1.3684011379	1.3217127267	1.4150895491	0.0486111111	0.0277777778	0.0694444444	9
"fantasyself"	"temp_fant11924_9"	"temp_fant21924_9"	1924	1880	1903.38888889	1903.38194444	0.8333333333	0.7986111111	0.7916666667	0.7916666667	1.05604498	1.0634020641	1.0486878959	0.0243055556	0.0069444444	0.0416666667	9
"cross"	"temp_sf11924_9"	"temp_fant21924_9"	1924	1880	1902.78472222	1903.38194444	0.8958333333	0.7986111111	0.7361111111	0.7222222222	0.8435138404	0.9221459389	0.764881742	0.1180555556	0.0763888889	0.1597222222	9
"cross"	"temp_sf21924_9"	"temp_fant11924_9"	1924	1880	1900.86111111	1903.38888889	0.8055555556	0.8333333333	0.7777777778	0.75	0.7706666462	0.8089920318	0.7323412605	0.0555555556	0.0833333333	0.0277777778	9
"sfself"	"temp_sf11924_10"	"temp_sf21924_10"	1924	1880	1903.625	1901.32638889	0.8611111111	0.8541666667	0.8125	0.7152777778	1.0284044115	0.8904884786	1.1663203444	0.09375	0.1388888889	0.0486111111	10
"fantasyself"	"temp_fant11924_10"	"temp_fant21924_10"	1924	1880	1901.60416667	1904.52777778	0.8125	0.8125	0.7569444444	0.8263888889	1.0904314842	1.0364972337	1.1443657348	0.0208333333	-0.0138888889	0.0555555556	10
"cross"	"temp_sf11924_10"	"temp_fant21924_10"	1924	1880	1903.625	1904.52777778	0.8611111111	0.8125	0.7916666667	0.7013888889	0.9546976488	0.7986308385	1.1107644591	0.0902777778	0.1111111111	0.0694444444	10
"cross"	"temp_sf21924_10"	"temp_fant11924_10"	1924	1880	1901.32638889	1901.60416667	0.8541666667	0.8125	0.7777777778	0.7361111111	0.6926178462	0.678635762	0.7065999303	0.0763888889	0.0763888889	0.0763888889	10
"sfself"	"temp_sf11924_11"	"temp_sf21924_11"	1924	1880	1902.09722222	1901.15972222	0.7986111111	0.875	0.7569444444	0.8333333333	1.2945250702	1.2912309965	1.297819144	0.0416666667	0.0416666667	0.0416666667	11
"fantasyself"	"temp_fant11924_11"	"temp_fant21924_11"	1924	1880	1902.36805556	1902.29861111	0.8333333333	0.875	0.7708333333	0.7847222222	1.0455420711	1.0504233758	1.0406607664	0.0763888889	0.0902777778	0.0625	11
"cross"	"temp_sf11924_11"	"temp_fant21924_11"	1924	1880	1902.09722222	1902.29861111	0.7986111111	0.875	0.7569444444	0.7986111111	0.8275713663	1.0341128189	0.6210299137	0.0590277778	0.0763888889	0.0416666667	11
"cross"	"temp_sf21924_11"	"temp_fant11924_11"	1924	1880	1901.15972222	1902.36805556	0.875	0.8333333333	0.7708333333	0.6736111111	0.7935401007	0.7036564554	0.883423746	0.1319444444	0.1597222222	0.1041666667	11
"sfself"	"temp_sf11924_12"	"temp_sf21924_12"	1924	1880	1901.625	1902.67361111	0.8055555556	0.8680555556	0.7916666667	0.8472222222	1.4058570923	1.5506310976	1.2610830869	0.0173611111	0.0208333333	0.0138888889	12
"fantasyself"	"temp_fant11924_12"	"temp_fant21924_12"	1924	1880	1903.52777778	1903.25	0.7916666667	0.8263888889	0.7361111111	0.7777777778	1.0006910806	0.9583534409	1.0430287203	0.0520833333	0.0486111111	0.0555555556	12
