docid	diff	firstpub	author	tags	title
uc1.32106006936592_0	0.143420474075	1985	Mila�n, Victor	sf_oclc	The cybernetic samurai
pst.000068149192_0	-0.7697503062	1974	De Camp, L. Sprague (Lyon Sprague)	sf_loc	Lest darkness fall
mdp.39015053607191_1	-0.463151054046	1967	Morris, Edita	random	Dear me, | and other tales from my native Sweden.
mdp.39015033871693_0	-0.0226248975117	1978	Anderson, Poul	sf_loc	The horn of time
mdp.39015008864673_1	-0.0360215663699	1983	Van Vogt, A. E. (Alfred Elton)	sf_oclc	Empire of the atom
mdp.39015009045033_1	0.136268677692	1982	Brady, Maureen	random	Folly, a novel / | $c: by Maureen Brady.
uc1.b4382436_0	0.156511426509	1989	Bonham, Frank	random	The best Western stories of Frank Bonham / | $c: edited by Bill Pronzini and Martin H. Greenberg.
pst.000063446623_1	0.254108268713	1974	Elwood, Roger	sf_loc	Continuum.
mdp.39015066070890_1	-0.528538590565	1972	Christie, Agatha	random	Elephants can remember | $c: [by] Agatha Christie.
mdp.39015002274507_1	-0.084949288855	1976	Naipaul, Seepersad	random	The adventures of Gurudeva, and other stories / | $c: [by] Seepersad Naipaul ; with a foreword by V. S. Naipaul.
uc1.b3739816_0	0.121852280137	1972	Layton, Irving	random	Engagements: | the prose of Irving Layton; | $c: edited by Seymour Mayne.
mdp.39015014137973_0	0.258269393366	1968	Leiber, Fritz	sf_oclc	Gather, darkness!
mdp.39015033871693_1	0.0564633313375	1978	Anderson, Poul	sf_loc	The horn of time
mdp.39015051324310	-0.0558866735318	1988	Barrett, Lynne	random	The Land of Go : | stories / | $c: by Lynne Barrett.
mdp.39015031213609_0	-0.528736557068	1971	Brunner, John	sf_oclc	The wrong end of time
mdp.39015030710589	-0.435494063312	1978	Rosenbaum, Ron	random	Murder at Elaine's : | a novel / | $c: by Ron Rosenbaum.
uc1.b4463156_1	0.454700726647	1980	Knight, Damon	sf_oclc|fantasy_oclc	The world and Thorinn
pst.000009082793_0	-0.194958287985	1982	nan	sf_loc	The deadly sins and cardinal virtues of science fiction
mdp.39015010914946_0	0.0806299712989	1981	Rybakov, Anatoliĭ Naumovich	random	Heavy sand / | $c: Anatoli Rybakov ; translated from the Russian by Harold Shukman.
pst.000046807083_3	0.200655603991	1984	Vidal, Gore	random	Lincoln : | a novel / | $c: Gore Vidal.
uc1.32106007982744_1	-1.18371636572	1981	Card, Orson Scott	sf_loc	Unaccompanied sonata & other stories
mdp.39015030708112_2	-0.211815897283	1961	O'Hara, John	random	Assembly / | $c: John O'Hara.
mdp.39015049862702_1	-0.0340719800267	1984	Kelleher, Victor	sf_oclc	The beast of heaven
mdp.39015022220357_1	-1.08368550243	1974	Sturgeon, Theodore	sf_oclc	Case and the dreamer
pst.000005702893_0	0.153127990373	1972	Underwood, J. Cabaniss	random	Gilbert : | or, Then and now. / | $c: A thrilling story of the life and achievements of a Virginia Negro, by J. Cabaniss Underwood.
pst.000019717371_0	0.00335933656406	1974	Elwood, Roger	sf_loc	Continuum.
inu.30000036960361_0	-0.278436334828	1989	Banks, Iain	sf_oclc|fantasy_oclc	The player of games
mdp.39015002661174_1	0.304576895407	1980	Dickson, Gordon R	sf_loc	In iron years
uc1.b3459537_0	0.116624293121	1984	Dickson, Gordon R	sf_loc	Dickson!
uc1.$b800124_0	-0.0891285369675	1970	Tracy, Don	random	The last boat out of Cincinnati.
mdp.39076000903778_0	0.100106331886	1965	nan	sf_loc	Nebula award stories
mdp.39015073494463	-0.57600784454	1969	nan	random	Ken Babcock's cherry.
uc1.32106009009769_0	0.1197165026	1989	Hrabal, Bohumil	random	I served the King of England / | $c: Bohumil Hrabal ; translated from the Czech by Paul Wilson.
mdp.39015058074553_1	0.559044774671	1973	nan	sf_oclc|fantasy_loc	Flashing swords!
mdp.49015000498858_2	-0.00416296243378	1971	Olander, Joseph D	sf_loc	American government through science fiction
mdp.39015011691782_1	-0.0844145588097	1979	Huth, Angela	random	Infidelities / | $c: by Angela Huth.
mdp.49015000582263_0	0.363073404718	1989	nan	sf_loc	Memories and visions : | women's fantasy & science fiction
mdp.39015035610966	0.0336932509401	1969	nan	random	Fragrant flowers: a literary collection from some Sahitya Akademi award winners; | authors' own selection.
mdp.39015053381664_0	-0.765845311628	1976	Yerby, Frank	random	A rose for Ana Maria : | a novel / | $c: by Frank Yerby.
osu.32435063455158_1	0.88732100587	1961	Kane, Frank	random	Frank Kane's Stacked deck.
pst.000009082793_1	-0.0161313308387	1982	nan	sf_loc	The deadly sins and cardinal virtues of science fiction
mdp.39015012212620_0	-0.129288255029	1974	Niven, Larry	sf_oclc	The mote in God's eye, | $c: by Larry Niven and Jerry Pournelle.
mdp.39015030710662_0	-0.0337099629804	1969	Pohl, Frederik	sf_oclc	The age of the pussyfoot.
mdp.39015049862702_0	-0.0309809509452	1984	Kelleher, Victor	sf_oclc	The beast of heaven
mdp.39015018594930_1	0.0664714348381	1985	Hearon, Shelby	random	A small town / | $c: Shelby Hearon.
mdp.39015010684630	0.151583186389	1961	Silone, Ignazio	random	The fox and the camellias.
uc1.b4355015_0	-0.931383359956	1973	Livingston, Gary	random	Exile's end.
mdp.39015030846771_1	-0.00632664780474	1969	Bowen, Elizabeth	random	Ann Lee's: | & other stories.
mdp.39015047655975_1	0.369934188482	1988	Gear, W. Michael	sf_oclc	The warriors of Spider
mdp.39015018625015_1	-0.156346807931	1989	Adams, Alice	random	After you've gone : | stories / | $c: by Alice Adams.
mdp.39015066619159_1	0.203211414578	1967	Ongaro, Alberto	random	Excelsior; | $c: translated from the Italian by Giles Cremonesi.
uc1.b4363412_1	0.203246869082	1969	Konwicki, Tadeusz	random	A dreambook for our time. | $c: Translated by David Welsh.
uc1.32106015791707_0	-0.182864156732	1978	Nelson, Shirley	random	The last year of the war / | $c: by Shirley Nelson.
pst.000012777891	0.460695824511	1972	Serling, Rod	sf_oclc|fantasy_loc	Night gallery 2.
mdp.39015003678128_0	-0.316560016712	1963	Fuller, Edmund	random	The corridor.
inu.39000003644007_1	0.108198918275	1975	McCaffrey, Anne	sf_oclc	To ride Pegasus
uc1.$b808873_1	-0.0674565361659	1964	Piper, Evelyn	random	The nanny | $c: [by] Evelyn Piper [pseud.
inu.30000029816976_1	0.0649977230125	1962	Dick, Philip K	sf_loc	The collected stories of Philip K. Dick
mdp.39015014881778_0	0.245685460377	1986	Valerio, Anthony	random	Valentino and the great Italians / | $c: according to Anthony Valerio.
pst.000044217853_1	-0.594738443648	1962	Burgess, Anthony	sf_oclc	A clockwork orange
mdp.39015058012215_0	-1.07653172388	1988	Adams, Douglas	sf_oclc	The long dark tea-time of the soul
uc1.32106006848292	-0.810937769015	1985	Smith, Evelyn E	sf_oclc	Copy shop
mdp.39015016466511	-0.103730549141	1964	Aldiss, Brian Wilson	sf_loc	The dark light-years
pst.000017857178_2	0.112907328589	1989	Bujold, Lois McMaster	sf_oclc	Vorkosigan's game
mdp.39015010914946_2	-0.462534944369	1981	Rybakov, Anatoliĭ Naumovich	random	Heavy sand / | $c: Anatoli Rybakov ; translated from the Russian by Harold Shukman.
mdp.49015000498858_0	0.103019672343	1971	Olander, Joseph D	sf_loc	American government through science fiction
mdp.39015002274507_0	0.10721180103	1976	Naipaul, Seepersad	random	The adventures of Gurudeva, and other stories / | $c: [by] Seepersad Naipaul ; with a foreword by V. S. Naipaul.
uc1.32106007983098_1	-0.0691450108027	1984	Herbert, Frank	sf_oclc	Heretics of Dune
mdp.39015007058293	0.187566821204	1973	Wodehouse, P. G	random	Bachelors Anonymous | $c: [by] P. G. Wodehouse.
mdp.39015029412296_0	0.154238198695	1969	nan	sf_loc	The best SF stories from New Worlds,#2.
mdp.39015014135514_1	-0.070465295992	1964	Morrieson, Ronald Hugh	random	Came a hot Friday.
uc1.b2849235_1	0.0602925800849	1968	Tenn, William	sf_loc	Of men and monsters | $c: [by] William Tenn.
inu.30000002191439_0	0.0298150721414	1988	Bialonwu, Uche	random	The long claws of fate / | $c: Uche Bialonwu.
uc1.b4350593_0	0.422035273208	1989	Park, Paul	sf_oclc	Sugar rain
mdp.39015010450529_0	-0.127244528945	1966	Heinlein, Robert A. (Robert Anson)	sf_oclc	The moon is a harsh mistress
mdp.39015014862505_1	-0.154269743932	1968	Yglesias, Jose	random	An orderly life.
mdp.39015003636084	0.0654916900294	1972	Welty, Eudora	random	The optimist's daughter.
pst.000068149192_1	0.0806794568661	1974	De Camp, L. Sprague (Lyon Sprague)	sf_loc	Lest darkness fall
mdp.39015066688105_1	0.279254496195	1975	Coblentz, Stanton Arthur	sf_oclc	After 12,000 years
mdp.39015050556565_3	1.9093673989	1965	Hersey, John	sf_oclc	White lotus | $c: [by] John Hersey.
mdp.39015035335044_0	-0.290773502302	1966	Wheelis, Allen	random	The illusionless man; | fantasies and meditations.
uc1.b4948503_0	-0.150662422061	1980	Bogarde, Dirk	random	A gentle occupation : | a novel / | $c: by Dirk Bogarde.
mdp.39015014152915_3	-0.858871443232	1978	Cozzens, James Gould	random	Just representations : | a James Gould Cozzens reader / | $c: edited and with an introd. by Matthew J. Bruccoli.
mdp.39015030701356	0.0341945841462	1965	Derleth, August	random	The adventure of the Orient Express / | $c: by August Derleth ; with illustrations by Henry Lauritzen.
mdp.49015003002582_2	0.0543095580145	1979	Miller, Dallas	random	Passage West : | a novel / | $c: by Dallas Miller.
mdp.39015016450234_1	-0.175834208684	1965	Brunner, John	sf_oclc	The squares of the city
mdp.39015014137635	0.116381059794	1963	Reynolds, Mack	sf_oclc	The earth war
mdp.39015046372366_1	0.041575901001	1970	Kazakov, I͡Uriĭ	random	Autumn in the oak woods; | short stories | $c: [by] Yuri Kazakov. [Translated from the Russian, by Bernard Isaacs. Designed by M. Rudakov]
uc1.b4449565_1	-0.0535363041927	1984	Attanasio, A. A	sf_oclc	In other worlds
mdp.39015008439567_0	0.894969560457	1975	Le Guin, Ursula K	sf_oclc	A wizard of earthsea
mdp.39015009060362_2	0.18428906921	1983	Silverberg, Robert	sf_oclc	Valentine Pontifex
mdp.39015048416435_1	0.866400379691	1979	New, Christopher	random	Goodbye Chairman Mao / | $c: Christopher New.
pst.000044217853_0	-0.398368564858	1962	Burgess, Anthony	sf_oclc	A clockwork orange
uc1.b2838670_0	-0.191358534592	1969	Clement, Hal	sf_loc	Small changes
mdp.39015022283579_1	-1.50471492995	1988	Pohl, Frederik	sf_oclc	Narabedla Ltd.
mdp.39015003922005_0	-0.807046344161	1961	Heinlein, Robert A. (Robert Anson)	sf_oclc	Stranger in a strange land.
pst.000014249471_3	-0.160036761393	1980	Marsh, Ngaio	random	Photo finish and two other great mysteries / | $c: Ngaio Marsh.
mdp.39015028025628_1	0.169746806758	1979	Melez͡h, Ivan Paŭlavich	random	People of the marsh / | $c: Ivan Melezh ; [translated by Natalie Ward ; ill. by Georgy Poplavsky].
mdp.39015056459400_0	0.644862662375	1984	nan	sf_loc	Kindred spirits : | an anthology of gay and lesbian science fiction stories
uc1.32106014643891_1	-0.063435256822	1971	Munro, Alice	random	Lives of girls and women / | $c: Alice Munro
mdp.39015008724802_2	-0.00520852481866	1967	Merril, Judith	sf_loc	SF; the best of the best.
uc1.b4931266_1	0.284237114268	1966	Laumer, Keith	sf_loc	Earthblood | $c: by Keith Laumer and Rosel George Brown.
mdp.39015009060362_0	0.146255281347	1983	Silverberg, Robert	sf_oclc	Valentine Pontifex
mdp.39015007043337_1	0.218798499051	1976	Dick, Philip K	sf_oclc	Flow my tears, the policeman said
mdp.39015000512015_0	0.101264042742	1982	Gold, Herbert	random	True love / | $c: by Herbert Gold.
uc1.32106007982744_0	-0.207766134967	1981	Card, Orson Scott	sf_loc	Unaccompanied sonata & other stories
mdp.39015019169294_1	0.925833805067	1970	Leiber, Fritz	sf_oclc	The swords of Lankhmar.
uc1.b4948503_1	-0.0856960460438	1980	Bogarde, Dirk	random	A gentle occupation : | a novel / | $c: by Dirk Bogarde.
mdp.39015003498436_2	0.102313742205	1965	nan	sf_loc	The Magazine of fantasy and science fiction : | a 30-year retrospective
pst.000005440733_0	0.154183868895	1970	Vickers, Frederick Bert	random	No man is himself / | $c: a novel by F. B. Vickers.
mdp.39015014862505_0	-0.0903559743575	1968	Yglesias, Jose	random	An orderly life.
mdp.39015022220357_0	-0.22384572879	1974	Sturgeon, Theodore	sf_oclc	Case and the dreamer
pst.000044896492_0	0.199103791708	1979	Wibberley, Leonard	sf_oclc	The mouse that roared
uc1.b5181929_1	0.335303165627	1972	Hart, Sue (Susanne)	random	Listen to the wild | $c: [by] Susanne Hart.
uc1.b4449565_0	0.182479126263	1984	Attanasio, A. A	sf_oclc	In other worlds
pst.000018452310	-0.203738126256	1970	Christopher, John	sf_oclc	The guardians
mdp.39015005587061_1	0.473025329736	1972	Brunner, John	random	The dramaturges of Yan / | $c: John Brunner.
mdp.39015030010964_1	0.257830064519	1977	Kallifatides, Theodor	random	Masters and peasants / | $c: Theodor Kallifatides ; translated from the Swedish by Thomas Teal.
uc1.b3861627_0	-0.626784995761	1974	Brackett, Leigh	sf_loc	The long tomorrow
mdp.49015000498858_1	-0.314429035734	1971	Olander, Joseph D	sf_loc	American government through science fiction
mdp.39015015390787_1	-0.391571739682	1971	Simak, Clifford D	sf_oclc	A choice of gods | $c: [by] Clifford D. Simak. -
uc1.$b785392_0	0.0351693073096	1960	Astley, Thea	random	A descant for gossips, | a novel.
mdp.39015008724802_1	-0.179069725631	1967	Merril, Judith	sf_loc	SF; the best of the best.
mdp.39015030945573_1	0.146246296846	1977	Apter, T. E	random	Adonis' garden / | $c: T. E. Apter.
mdp.39015036768961_1	0.295170929867	1983	Gaan, Margaret	random	Little sister / | $c: by Margaret Gaan.
mdp.39015003900720_0	-0.197897258115	1981	Lem, Stanis��aw	sf_loc	The cosmic carnival of Stanis��aw Lem : | an anthology of entertaining stories by the modern master of science fiction
coo.31924015913787_0	0.175263586461	1976	West, Kenyon	random	Cliveden / | $c: Kenyon West.
inu.30000092015605_0	-0.00255650178054	1967	Hamalian, Leo	random	Seven Russian short novel masterpieces, | $c: edited, with notes and introd., by Leo Hamalian and Vera Von Wiren-Garczynski.
pst.000014249471_1	0.281501881581	1980	Marsh, Ngaio	random	Photo finish and two other great mysteries / | $c: Ngaio Marsh.
uc1.b4355176_2	-0.0869377852082	1983	Prochnau, William W	sf_oclc	Trinity's child
uc1.32106006970906	-0.118471317451	1985	Strand, Mark	random	Mr. and Mrs. Baby and other stories / | $c: by Mark Strand.
pst.000021946516_1	-0.228877746728	1966	Dick, Philip K	sf_loc	We can remember it for you wholesale
uc1.$b391245_0	-0.0771706774431	1968	Bharucha, Perin	random	The fire worshippers.
pst.000050309191_0	-0.128662888803	1984	Segura, Chris	random	Bayou / | $c: forty short stories by Chris Segura ; forty paintings by George Rodrigue.
mdp.39015003345728	0.210949901636	1975	Fawcett, Edward Douglas	sf_oclc	Hartmann, the anarchist; | or, The doom of the great city.
uc1.b4951320_1	-0.642469025889	1978	McFadden, Cyra	random	The serial : | a year in the life of Marin County / | $c: by Cyra McFadden ; illustrations by Tom Cervenak.
pst.000021689604_2	0.190394076332	1981	Hogan, James P	sf_oclc	The Minervan experiment
uc1.b3554717_1	-0.0303003911043	1971	nan	random	Nobel Prize library.
uc1.b4439333_1	0.441020947996	1983	Edwards, Page	random	Peggy Salte / | $c: by Page Edwards.
osu.32435053306007_1	-1.7299572209	1963	Brown, Rosel George	sf_loc	A handful of time
uc1.b4381878_0	-0.0921671705918	1975	Gunn, James E	sf_loc	The end of the dreams : | three short novels about space, happiness, and immortality
mdp.39015031601746	-0.210507398192	1981	Fall, Aminata Sow	random	The beggars' strike, or, The dregs of society / | $c: Aminata Sow Fall ; translated by Dorothy S. Blair.
inu.39000003578593_1	1.57647132735	1975	Roberts, Keith	sf_oclc	The chalk giants
pst.000010058275_1	0.97721946396	1977	De Camp, L. Sprague (Lyon Sprague)	sf_oclc	The Tritonian ring
mdp.39015005888147_1	0.085053283183	1969	Pohl, Frederik	sf_oclc	The Starchild trilogy
uc1.32106012733827_2	0.251748269787	1977	Tiptree, James	sf_loc	Her smoke rose up forever : | the great years of James Tiptree, Jr.
mdp.39015009060362_1	0.102152462102	1983	Silverberg, Robert	sf_oclc	Valentine Pontifex
mdp.39015010321076_0	0.525321197108	1967	Davies, L. P. (Leslie Purnell)	sf_oclc|fantasy_oclc	Psychogeist | $c: [by] L. P. Davies.
mdp.39015028025628_0	0.154781040007	1979	Melez͡h, Ivan Paŭlavich	random	People of the marsh / | $c: Ivan Melezh ; [translated by Natalie Ward ; ill. by Georgy Poplavsky].
uc1.b4357751_1	-0.0814092593725	1971	Rauch, Earl Mac	random	Arkansas adios.
inu.39000000158191_0	-0.129799087052	1989	Clanchy, John	random	Homecoming : | three novellas / | $c: John Clanchy.
uc1.b4421476_1	0.000226685529171	1983	Lindbergh, Reeve	random	Moving to the country / | $c: Reeve Lindbergh Brown.
wu.89014307284_0	0.769597493665	1987	Gerber, Alain	random	Rumor of an elephant : | a novel / | $c: by Alain Gerber ; translated by Jeremy Leggatt.
uc1.$b81528_1	0.0643107888224	1960	Morris, Wright	random	Ceremony in Lone Tree.
mdp.39015030010964_0	0.173889344326	1977	Kallifatides, Theodor	random	Masters and peasants / | $c: Theodor Kallifatides ; translated from the Swedish by Thomas Teal.
osu.32435053363990_0	-0.345146683441	1960	Leinster, Murray	sf_oclc	The aliens
inu.39000003578593_0	1.14663648619	1975	Roberts, Keith	sf_oclc	The chalk giants
mdp.39015027552358_0	0.508715644186	1968	Greenleaf, Margery	random	Banner over me; | a tale of the Norman Conquest. | $c: Illustrated by Charles Mikolaycak.
pst.000013871406_0	0.539417545102	1979	Wagner, Karl Edward	sf_oclc	The road of kings
pst.000050309191_2	0.441168855259	1984	Segura, Chris	random	Bayou / | $c: forty short stories by Chris Segura ; forty paintings by George Rodrigue.
uc1.$b785374_0	0.2749254312	1967	Joseph, M. K	sf_oclc	The hole in the zero:
mdp.39076000903760_0	0.0764831957436	1965	nan	sf_loc	Nebula award stories
wu.89014307284_2	0.341524133456	1987	Gerber, Alain	random	Rumor of an elephant : | a novel / | $c: by Alain Gerber ; translated by Jeremy Leggatt.
mdp.39015048908365_1	0.0896781264145	1981	Musaraj, Shevqet	random	Before the dawn : | a novel / | $c: Shevqet Musaraj.
mdp.39015005753077_0	-0.52988684945	1965	Amis, Kingsley	random	The Egyptologists; | a novel, | $c: by Kingsley Amis and Robert Conquest.
mdp.39015000512015_1	-0.345274930035	1982	Gold, Herbert	random	True love / | $c: by Herbert Gold.
mdp.39015046372366_0	0.0757989899072	1970	Kazakov, I͡Uriĭ	random	Autumn in the oak woods; | short stories | $c: [by] Yuri Kazakov. [Translated from the Russian, by Bernard Isaacs. Designed by M. Rudakov]
mdp.39015002129552_0	0.0275830521523	1976	Wodehouse, P. G	random	The world of Blandings / | $c: P. G. Wodehouse.
mdp.39015003900720_1	0.0801906648556	1981	Lem, Stanis��aw	sf_loc	The cosmic carnival of Stanis��aw Lem : | an anthology of entertaining stories by the modern master of science fiction
uc1.32106005215675_1	-0.936770246926	1981	Gilbert, Michael A	random	Office party / | $c: by Michael A. Gilbert.
pst.000021689604_0	0.781412658916	1981	Hogan, James P	sf_oclc	The Minervan experiment
mdp.39015003498436_0	0.313507891193	1965	nan	sf_loc	The Magazine of fantasy and science fiction : | a 30-year retrospective
mdp.39015069234717_0	-0.64920736317	1965	Dick, Philip K	sf_loc	Four novels of the 1960s
pst.000014226519_0	-0.324162041552	1987	nan	random	On the diamond : | a treasury of baseball stories / | $c: edited and with an introduction by Martin H. Greenberg.
mdp.49015001363762_0	-0.0753766819301	1986	nan	sf_loc	Omni best science fiction
uc1.b2849235_0	0.104534302298	1968	Tenn, William	sf_loc	Of men and monsters | $c: [by] William Tenn.
mdp.39015048416435_0	0.897014573704	1979	New, Christopher	random	Goodbye Chairman Mao / | $c: Christopher New.
mdp.39015008199468_0	-0.107566967528	1969	Anderson, Poul	sf_oclc	Satan's world.
uc1.32106007417642_0	-0.0308087531269	1986	Pickard, Nancy	random	No body : | a Jenny Cain mystery / | $c: Nancy Pickard.
pst.000044193720_0	1.39161302033	1964	Ludwig, Richard M	random	9 short novels / | $c: edited by Richard M. Ludwig and Marvin B. Perry, Jr.
mdp.39015055110004_0	0.0262440594686	1973	Thomas, Audrey Callahan	random	Songs my mother taught me : | a novel / | $c: by Audrey Thomas.
mdp.39015050246373_1	-0.0170627556171	1988	McAleer, John J	random	Coign of vantage, or, The Boston Athenaeum murders / | $c: John McAleer.
mdp.39015058012215_1	-0.574604700059	1988	Adams, Douglas	sf_oclc	The long dark tea-time of the soul
pst.000044193720_3	0.107576222537	1964	Ludwig, Richard M	random	9 short novels / | $c: edited by Richard M. Ludwig and Marvin B. Perry, Jr.
uc1.32106007983098_0	0.0950976475146	1984	Herbert, Frank	sf_oclc	Heretics of Dune
mdp.39015010450529_2	-0.0656213054993	1966	Heinlein, Robert A. (Robert Anson)	sf_oclc	The moon is a harsh mistress
uc1.b4432430_1	-0.302528142111	1976	Biggle, Lloyd	sf_loc	A galaxy of strangers
pst.000046807083_2	-0.0652683501925	1984	Vidal, Gore	random	Lincoln : | a novel / | $c: Gore Vidal.
mdp.39015014622016	0.616698929178	1977	Moorcock, Michael	sf_oclc	The sword of the dawn
mdp.39015064103032_0	-0.177169705595	1964	nan	sf_loc	Things
pst.000014249471_0	-0.269820885658	1980	Marsh, Ngaio	random	Photo finish and two other great mysteries / | $c: Ngaio Marsh.
mdp.39015051168493_1	-0.0263662621884	1976	Athar, Ikbal	random	The years of their lives / | $c: Ikbal Athar.
pst.000021946516_2	-0.00568614026967	1966	Dick, Philip K	sf_loc	We can remember it for you wholesale
uc1.32106014453754_0	-0.677583872262	1963	Carr, John Dickson	random	The men who explained miracles; | six short stories and a novelette
uc1.b4384819_0	0.0713321021522	1984	Leinster, Murray	sf_oclc	The forgotten planet
uc1.32106012733827_1	0.122910389606	1977	Tiptree, James	sf_loc	Her smoke rose up forever : | the great years of James Tiptree, Jr.
uc1.$b115475_1	-0.451472762507	1966	Patterson, Samuel H	random	A nickel's worth of ice | $c: [by] Sam Patterson.
uc1.b3861627_1	0.238873063629	1974	Brackett, Leigh	sf_loc	The long tomorrow
mdp.39015002609116_2	-0.143309980936	1961	Uris, Leon	random	Mila 18.
uc1.$b115475_0	-0.0466154325041	1966	Patterson, Samuel H	random	A nickel's worth of ice | $c: [by] Sam Patterson.
mdp.39015030745650_0	-0.331948460869	1971	Hood, Hugh	random	The fruit man, the meat man & the manager; | stories.
pst.000014156960_0	0.29934570534	1987	nan	sf_oclc	The Fifth Omni book of science fiction
uc1.b4975715	-0.313143294816	1989	Martinac, Paula	random	Lesbian short fiction / | $c: Paula Martinac, Carla Tomaso.
mdp.39015010524505_1	0.354996924744	1967	Wallach, Erica Glaser	random	Light at midnight | $c: [by] Erica Wallach.
uc1.32106016701697_1	-0.295556463288	1973	Ponicsan, Darryl	random	Andoshen, Pa.; | a novel.
