"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015081738737",6818717,148858666,,"taggedfantasy","Kiernan, Caitl̕n R.",,"Burton, Mich.|Subterranean Press|c2007.",2007,,"miu",,"Fantasy fiction, American|Erotic stories, American","Short stories","Tales from the Woeful Platypus"
"mdp.39015053485507",3578571,48802582,,"taggedfantasy","Halmo, Robert D.,","1956-","Bloomington, IN|1stBooks|c2001.",2001,,"inu",,"Fantasy fiction, American","Fiction","Children of the grove : | book one of Lords of Darkness, Lords of Light"
"mdp.49015002610310",4582782,46619991,"PS3554.I3915S77 2001","taggedfantasy","Di Filippo, Paul,","1954-","Urbana, IL|Golden Gryphon Press|2001.",2001,,"ilu",,"Fiction|Occupations|Fantasy fiction, American","Fiction","Strange trades"
"mdp.39015066066682",4130003,44849075,"PS3558.A443357K57 2000","fuzzymatch","Hamilton, Laurell K.",,"New York|Ballantine Books|2000.",2000,,"nyu",,"Fairies|Fiction|Women private investigators","Fiction|Mystery fiction|Fantasy fiction","A kiss of shadows"
"pst.000048593830",12269065,43567515,"PS374.S35P69 2001","taggedfantasy",,,"Upper Saddle River, NJ|Prentice Hall|c2001.",2001,,"nju",,"Fantasy fiction, English|Fantasy fiction, American|Science fiction, English|Science fiction, American","Bibliographies|Fiction","The Prentice Hall anthology of science fiction and fantasy"
"mdp.39015050477374",4145837,44027231,"PR6069.I32P7 2000","fuzzymatch","Siegel, Jan.",,"New York|Ballantine Pub. Group|2000.",2000,,"nyu",,"Fiction|Geographical myths|Girls|Atlantis (Legendary place)","Fiction|Fantasy fiction","Prospero's children"
"mdp.39015061866946",4972084,52527009,,"oclcid","Mellick, Carlton.",,"S.l.|Silver Lake Pub.|2002.",2002,,"xxu",,,"Short stories|Science fiction","Sunset with a beard"
"mdp.49015003166726",5542651,63793939,"PS 3556 .A72A6 2006","taggedfantasy","Farmer, Philip José.",,"Burton, Mich.|Subterranean Press|2006.",2006,,"miu",,"Fantasy|Short stories|Science fiction, American","Fiction|Science fiction","The best of Philip José Farmer"
"mdp.39015073817440",5862687,154687250,,"taggedfantasy","Lawson, John Edward.",,"Hyattsville, Md.|Raw Dog Screaming|2007.",2007,,"mdu",,"Fiction|Fantasy fiction, American|Families","Short stories","Discouraging at best"
"pst.000058960691",12267939,61356453,"PS3566.E234K56 2005","taggedfantasy","Pearson, Ridley.",,"New York|Disney Editions|c2005.",2005,,"nyu",,"Fantasy|Holography|Juvenile fiction|Suspense fiction|Cartoon characters|Teenagers|Good and evil|Fiction","Suspense fiction|Fantasy fiction, American|Adventure stories, American|Novel|Fantasy fiction","The kingdom keepers"
"mdp.39015082722771",5911915,233033842,"PS3623.H38C73 2008","taggedfantasy","What, Leslie.",,"La Grande, OR|Wordcraft of Oregon|2008.",2008,,"oru",,"Fantasy fiction, American|Science fiction, American","Fiction","Crazy love : | stories"
