volid	author	title	firstpub	prewarmean	postwarmean	unweightpremean	unweightpostmean	prestd	poststd	diff	ttest	pval
mdp.39015030718657	Sturgeon, Theodore	A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin.	1955	0.563357539331	0.930774033407	0.569182339852	0.948647189021	0.235333441777	0.0742632993261	0.367416494076	-13.2576862012	4.70722380658e-25
mdp.39015030931284	Derleth, August William	The other side of the moon. | [Stories]	1949	0.959183863362	0.961368890778	0.97032635704	0.973934265645	0.0425876260394	0.0491478750402	0.00218502741621	-0.372969274903	0.710675082962
mdp.39015030945789	Anderson, Poul	Earthman's burden	1957	0.744748233318	0.894099952524	0.782573634838	0.914430206553	0.155218286049	0.10706359083	0.149351719206	-4.6513405156	1.31183587525e-05
mdp.39015033397988	Werfel, Franz	Star of the unborn, | $c: [by] Franz Werfel. Translated by Gustave O. Arlt.	1946	0.916189111023	0.922232090857	0.935377814394	0.942180975272	0.0749220244762	0.0818346504616	0.00604297983429	-0.407221432412	0.685574870794
mdp.39015038917210	Slobodkin, Louis	The space ship under the apple tree	1952	0.554857012559	0.591705161883	0.580533322105	0.592537836269	0.194084661947	0.267724696504	0.0368481493241	-0.145442457187	0.885864761827
mdp.39015042474877	Vance, Jack	The complete dying earth	1966	0.863577888088	0.839077912733	0.887916928794	0.846582137585	0.104865243011	0.174374460536	-0.0244999753547	1.43128085008	0.158381367084
mdp.39015046832849	Pangborn, Edgar	A mirror for observers.	1954	0.328692104723	0.911007584796	0.319299542755	0.920164972333	0.147797661967	0.069092679055	0.582315480074	-23.836157304	8.83119454874e-34
mdp.39015050556565	Hersey, John	White lotus | $c: [by] John Hersey.	1965	0.28777833193	0.129425850343	0.26719261099	0.0980542886889	0.153867897356	0.140593137534	-0.158352481587	6.69516762823	1.93003593317e-09
mdp.39015052467530	Le Guin, Ursula K	The left hand of darkness	1969	0.646373041873	0.7939328648	0.667076824225	0.810923455465	0.110064434967	0.148551004285	0.147559822927	-3.70989263538	0.00117627177696
mdp.39015056246211	Bester, Alfred	Starburst	1958	0.667718624888	0.946557796712	0.695779601791	0.957576712891	0.168495584611	0.0543118768154	0.278839171824	-10.6950389449	4.26762863359e-17
mdp.39015056814455	nan	A decade of Fantasy and science fiction	1955	0.58861522628	0.864011481352	0.59945807759	0.886214347264	0.286413159966	0.099476116894	0.275396255072	-8.20450705091	2.77566540312e-13
mdp.39015061465624	nan	Famous fantastic mysteries : | 30 great tales of fantasy and horror from the classic pulp magazines Famous fantastic mysteries & Fantastic novels	1946	0.856985051821	0.672404590747	0.882468535026	0.696957140482	0.109739465473	0.183691524904	-0.184580461075	4.90040368303	2.73133797239e-05
mdp.39015062064459	Hoyle, Fred, Sir	Ossian's ride.	1959	0.7910261459	0.795188531589	0.81799266171	0.812577091338	0.118622431392	0.131914997374	0.00416238568898	0.148715767158	0.883047778185
mdp.39015064103032	nan	Things	1964	0.942449652281	0.99510039663	0.957584632876	0.996592348366	0.0476836383431	0.0066838597783	0.0526507443491	-6.10024133212	6.30801338592e-08
mdp.39015066050850	Vonnegut, Kurt	Player piano.	1952	0.15271333776	0.547127630039	0.127985570475	0.56179064869	0.0969454106211	0.131258470274	0.394414292279	-14.6472104587	1.5749665307e-16
mdp.39015069174269	Sturgeon, Theodore	The complete stories of Theodore Sturgeon	1949	0.603728273354	0.836691326836	0.624837004938	0.859821426469	0.233779555441	0.131067108013	0.232963053481	-6.44373178861	1.32589602838e-08
mdp.39015069234717	Dick, Philip K	Four novels of the 1960s	1965	0.491776515829	0.889057191702	0.494719068551	0.904455688708	0.17286592207	0.106242826843	0.397280675873	-18.1853980212	3.42658381067e-37
mdp.39076000903745	nan	Nebula award stories	1965	0.832479837555	0.893508463033	0.854884002402	0.912712005251	0.124955529883	0.111752031142	0.0610286254787	-1.82935834	0.0771958629719
mdp.39076000903760	nan	Nebula award stories	1965	0.567043875492	0.849414063386	0.576545651307	0.864700500794	0.230902377654	0.151408358769	0.282370187894	-6.45091955009	2.70701453111e-08
mdp.39076000903778	nan	Nebula award stories	1965	0.485821744843	0.755720143201	0.486499122804	0.782734685005	0.424729091188	0.24404603998	0.269898398358	-3.85873344515	0.000267149833232
mdp.39076005189357	Boucher, Anthony	A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.	1949	0.657909079739	0.889799685066	0.674318260272	0.914016816546	0.254941280086	0.126209472564	0.231890605327	-8.15115662508	8.61469683217e-14
mdp.49015000593328	Heinlein, Robert A. (Robert Anson)	The door into summer	1957	0.100573998543	0.807441877607	0.0812453468949	0.841841966964	0.0705552303736	0.140888926073	0.706867879064	-24.7108046928	2.26786278867e-20
mdp.49015001037275	Asimov, Isaac	Foundation and empire	1952	0.864853214508	0.966837130232	0.889477154439	0.977440269413	0.0936819680455	0.0370573268167	0.101983915723	-6.1291329248	2.85276561022e-08
mdp.49015001218248	Wyndham, John	The chrysalids	1959	0.673309914236	0.83451754771	0.689972496865	0.848558121005	0.253940022442	0.183003337365	0.161207633474	-3.17909588218	0.00232008047162
mdp.49015001323824	Asimov, Isaac	The complete stories of Asimov	1950	0.721291597533	0.963189910853	0.748967007382	0.975408192517	0.157817008767	0.0441303629572	0.241898313321	-14.4154754223	2.26873703187e-30
mdp.49015001393561	Silverberg, Robert	The collected stories of Robert Silverberg.	1958	0.806325262002	0.968727906353	0.831912313358	0.980329154212	0.107548104185	0.0471735721318	0.162402644351	-10.6171110189	5.23721433733e-19
osu.32435053306007	Brown, Rosel George	A handful of time	1963	0.222600944203	0.716681555866	0.200723950812	0.745686851282	0.0978924726945	0.220185567014	0.494080611663	-12.5223867682	3.69540347826e-14
osu.32435053307864	Campbell, John W., (John Wood), Jr	The black star passes	1953	0.994795699829	0.997716187794	0.996704801248	0.998689845901	0.00774245835738	0.00367912636646	0.00292048796428	-1.35567405453	0.183373767068
osu.32435053308334	Christopher, John	Planet in peril	1959	0.753287222418	0.966552988642	0.785128148284	0.976388311688	0.115197139063	0.0404563189436	0.213265766224	-7.9177893744	9.63650672911e-10
osu.32435053311874	Harrison, Harry	Planet of the damned	1962	0.929528796204	0.994466228786	0.945892903116	0.996009009346	0.0553674666316	0.0076377305648	0.0649374325818	-6.76532638413	4.44016822481e-09
osu.32435053363990	Leinster, Murray	The aliens	1960	0.979045060228	0.997156681898	0.986072204941	0.998093638198	0.0223261279939	0.00459450023955	0.0181116216698	-3.92802596176	0.000197613244202
osu.32435053573192	Fischer, Leonard	Let out the beast	1950	0.957373551546	0.76215306459	0.968567753409	0.769691748664	0.0351049247221	0.211784293218	-0.195220486955	3.09837246733	0.00990492990322
osu.32435057544645	Sutton, Jeff	First on the moon	1958	0.869992221698	0.982465653422	0.885613028867	0.987441887931	0.0934232075086	0.0251732738078	0.112473431724	-7.68695208426	4.29178076745e-11
osu.32435057545741	Wellman, Manly Wade	The solar invasion	1946	0.960939218489	0.992307829069	0.972500226405	0.996231972616	0.0391409859821	0.0128123355804	0.0313686105801	-2.9332999381	0.00555978195453
osu.32435063296008	Boucher, Anthony	Rocket to the morgue 	1942	0.302622341802	0.840776898697	0.293073215112	0.851434116123	0.151535871131	0.114155008724	0.538154556895	-18.0606983866	7.47794338599e-25
pst.000000187442	Clarke, Arthur C. (Arthur Charles)	Against the fall of night.	1953	0.992642666128	0.988460692767	0.995423163482	0.99183536152	0.00908553840852	0.0137010599798	-0.00418197336082	0.804031428659	0.434087933527
pst.000003806074	Mills, Robert P	The worlds of science fiction.	1953	0.602571934942	0.927954630625	0.62343848687	0.947930557097	0.141886813672	0.0770784541504	0.325382695684	-13.5947989153	1.15996018342e-22
