docid	htid	totaltokens	skipped_pages	path
uc2.ark+=13960=t43r0q389_1	uc2.ark+=13960=t43r0q389	38056	0	../data/uc2.ark+=13960=t43r0q389_1.tsv
mdp.39015049217741_0	mdp.39015049217741	60487	0	../data/mdp.39015049217741_0.tsv
mdp.39015049217741_1	mdp.39015049217741	66654	0	../data/mdp.39015049217741_1.tsv
inu.32000001384124_0	inu.32000001384124	56857	0	../data/inu.32000001384124_0.tsv
inu.32000001384124_1	inu.32000001384124	57786	0	../data/inu.32000001384124_1.tsv
njp.32101066455278_0	njp.32101066455278	46226	0	../data/njp.32101066455278_0.tsv
njp.32101066455278_1	njp.32101066455278	48647	0	../data/njp.32101066455278_1.tsv
mdp.39015003686816_0	mdp.39015003686816	46267	0	../data/mdp.39015003686816_0.tsv
mdp.39015003686816_1	mdp.39015003686816	47332	0	../data/mdp.39015003686816_1.tsv
uc2.ark+=13960=t6zw19x28_0	uc2.ark+=13960=t6zw19x28	43568	0	../data/uc2.ark+=13960=t6zw19x28_0.tsv
uc2.ark+=13960=t6zw19x28_1	uc2.ark+=13960=t6zw19x28	44344	0	../data/uc2.ark+=13960=t6zw19x28_1.tsv
nyp.33433074876388_0	nyp.33433074876388	33066	0	../data/nyp.33433074876388_0.tsv
nyp.33433074876388_1	nyp.33433074876388	32252	0	../data/nyp.33433074876388_1.tsv
uc1.32106006960592_0	uc1.32106006960592	50846	0	../data/uc1.32106006960592_0.tsv
uc1.32106006960592_1	uc1.32106006960592	51062	0	../data/uc1.32106006960592_1.tsv
uc1.32106006960592_2	uc1.32106006960592	48937	0	../data/uc1.32106006960592_2.tsv
nyp.33433081593646	nyp.33433081593646	55885	0	../data/nyp.33433081593646.tsv
uc1.b318291_0	uc1.b318291	31035	0	../data/uc1.b318291_0.tsv
uc1.b318291_1	uc1.b318291	32158	0	../data/uc1.b318291_1.tsv
mdp.39015000619554	mdp.39015000619554	53103	0	../data/mdp.39015000619554.tsv
uc2.ark+=13960=t5n874v29_0	uc2.ark+=13960=t5n874v29	45473	0	../data/uc2.ark+=13960=t5n874v29_0.tsv
uc2.ark+=13960=t5n874v29_1	uc2.ark+=13960=t5n874v29	48264	0	../data/uc2.ark+=13960=t5n874v29_1.tsv
uc2.ark+=13960=t5n874v29_2	uc2.ark+=13960=t5n874v29	45758	0	../data/uc2.ark+=13960=t5n874v29_2.tsv
hvd.32044020321865_0	hvd.32044020321865	103173	0	../data/hvd.32044020321865_0.tsv
hvd.32044020321865_1	hvd.32044020321865	108184	0	../data/hvd.32044020321865_1.tsv
hvd.32044020321865_2	hvd.32044020321865	102229	0	../data/hvd.32044020321865_2.tsv
hvd.32044020321865_3	hvd.32044020321865	96273	0	../data/hvd.32044020321865_3.tsv
mdp.39015011950766_0	mdp.39015011950766	30420	0	../data/mdp.39015011950766_0.tsv
mdp.39015011950766_1	mdp.39015011950766	29956	0	../data/mdp.39015011950766_1.tsv
uc2.ark+=13960=t1gh9jr4d_0	uc2.ark+=13960=t1gh9jr4d	40661	0	../data/uc2.ark+=13960=t1gh9jr4d_0.tsv
uc2.ark+=13960=t1gh9jr4d_1	uc2.ark+=13960=t1gh9jr4d	42693	0	../data/uc2.ark+=13960=t1gh9jr4d_1.tsv
mdp.39015031447595_0	mdp.39015031447595	30453	0	../data/mdp.39015031447595_0.tsv
