docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
mdp.39076002339229,mdp.39076002339229,35277,fantasy_loc|juv,"Besterman, Catherine,",1908-,Indianapolis|Bobbs-Merrill Co.|c1949.,1949,1949,,Juvenile fiction|Boys|Voyages and travels|Education|Fantasy fiction,Fiction,The extraordinary education of Johnny Longfoot in his search for the magic hat
inu.30000005092410_0,inu.30000005092410,42722,sf_loc,"Asimov, Isaac,",1920-1992,"Garden City, N.Y.|Doubleday|1963 [c1950",1950,1950,,"Robots|Fiction|Science fiction, American",Fiction|Science fiction,"I, Robot."
inu.30000005092410_1,inu.30000005092410,46361,sf_loc,"Asimov, Isaac,",1920-1992,"Garden City, N.Y.|Doubleday|1963 [c1950",1950,1950,,"Robots|Fiction|Science fiction, American",Fiction|Science fiction,"I, Robot."
mdp.39015008828157_0,mdp.39015008828157,32657,fantasy_oclc|sf_oclc,"Vance, Jack,",1916-,"New York|Pocket Books|1977 printing, c1950.",0,1950,,,Fiction,The dying earth
mdp.39015008828157_1,mdp.39015008828157,32851,fantasy_oclc|sf_oclc,"Vance, Jack,",1916-,"New York|Pocket Books|1977 printing, c1950.",0,1950,,,Fiction,The dying earth
osu.32435053573192,osu.32435053573192,44615,sf_oclc,"Fischer, Leonard.",,London|New York|New Stand Library|1950.,1950,1950,,,Fiction,Let out the beast
mdp.49015001323824_0,mdp.49015001323824,78325,sf_loc,"Asimov, Isaac,",1920-1992.,New York|Doubleday|c1990-<c1992 >,0,1950,v.1,"Science fiction, American",Fiction,The complete stories of Asimov
mdp.49015001323824_1,mdp.49015001323824,80010,sf_loc,"Asimov, Isaac,",1920-1992.,New York|Doubleday|c1990-<c1992 >,0,1950,v.1,"Science fiction, American",Fiction,The complete stories of Asimov
mdp.49015001323824_2,mdp.49015001323824,84960,sf_loc,"Asimov, Isaac,",1920-1992.,New York|Doubleday|c1990-<c1992 >,0,1950,v.1,"Science fiction, American",Fiction,The complete stories of Asimov
mdp.49015001323824_3,mdp.49015001323824,78314,sf_loc,"Asimov, Isaac,",1920-1992.,New York|Doubleday|c1990-<c1992 >,0,1950,v.1,"Science fiction, American",Fiction,The complete stories of Asimov
uc1.b4094525_0,uc1.b4094525,53559,sf_loc,"Heinlein, Robert A. (Robert Anson),",1907-1988.,Chicago|Shasta Publishers|1950,1950,1950,,"Science fiction, American",Fiction,The man who sold the moon ; | Harriman and the escape from Earth to the Moon!
uc1.b4094525_1,uc1.b4094525,56417,sf_loc,"Heinlein, Robert A. (Robert Anson),",1907-1988.,Chicago|Shasta Publishers|1950,1950,1950,,"Science fiction, American",Fiction,The man who sold the moon ; | Harriman and the escape from Earth to the Moon!
inu.32000009192297_0,inu.32000009192297,41124,fantasy_oclc,"Bentley, E. C. (Edmund Clerihew),",1875-1956.,New York|Knopf|1950.,1950,1950,,,Fiction,"Elephant's work, an enigma."
inu.32000009192297_1,inu.32000009192297,53880,fantasy_oclc,"Bentley, E. C. (Edmund Clerihew),",1875-1956.,New York|Knopf|1950.,1950,1950,,,Fiction,"Elephant's work, an enigma."
uc1.$b119860_0,uc1.$b119860,47047,sf_oclc,"Bradbury, Ray,",1920-,"Garden City, N.Y.|Doubleday|1951",1951,1951,,,Fiction,The illustrated man.
uc1.$b119860_1,uc1.$b119860,47842,sf_oclc,"Bradbury, Ray,",1920-,"Garden City, N.Y.|Doubleday|1951",1951,1951,,,Fiction,The illustrated man.
mdp.39015002288721_0,mdp.39015002288721,42026,sf_oclc,"Asimov, Isaac,",1920-1992.,"Garden City, N. Y.|Doubleday|1951",1951,1951,,,Fiction,"The stars, like dust."
mdp.39015002288721_1,mdp.39015002288721,44973,sf_oclc,"Asimov, Isaac,",1920-1992.,"Garden City, N. Y.|Doubleday|1951",1951,1951,,,Fiction,"The stars, like dust."
uc1.32106002143268,uc1.32106002143268,21451,fantasy_oclc,"Saroyan, William,",1908-1981,New York|Doubleday|1951.,1951,1951,,,NotFiction,Tracy's tiger.
mdp.39076002560766_0,mdp.39076002560766,49235,fantasy_loc,"Goudge, Elizabeth,",1900-1984.,New York|Coward-McCann|c1951.,1951,1951,,"Juvenile fiction|Animals, Mythical|Perseverance (Ethics)|Fantasy fiction",Fiction,The Valley of Song
mdp.39076002560766_1,mdp.39076002560766,47430,fantasy_loc,"Goudge, Elizabeth,",1900-1984.,New York|Coward-McCann|c1951.,1951,1951,,"Juvenile fiction|Animals, Mythical|Perseverance (Ethics)|Fantasy fiction",Fiction,The Valley of Song
uc1.32106001693032_0,uc1.32106001693032,98427,sf_loc,,,New York|Simon & Schuster|c1952.,1952,1952,,Science fiction,NotFiction,"The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr."
uc1.32106001693032_1,uc1.32106001693032,100529,sf_loc,,,New York|Simon & Schuster|c1952.,1952,1952,,Science fiction,NotFiction,"The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr."
uc1.32106001693032_2,uc1.32106001693032,96898,sf_loc,,,New York|Simon & Schuster|c1952.,1952,1952,,Science fiction,NotFiction,"The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr."
pst.000024653916_0,pst.000024653916,42677,sf_loc,"Heinlein, Robert A. (Robert Anson),",1907-1988,"New York|Ballantine Books|1977, c1952.",1952,1952,,Science fiction,NotFiction,The rolling stones
pst.000024653916_1,pst.000024653916,43351,sf_loc,"Heinlein, Robert A. (Robert Anson),",1907-1988,"New York|Ballantine Books|1977, c1952.",1952,1952,,Science fiction,NotFiction,The rolling stones
uc1.b3467600_0,uc1.b3467600,30993,sf_oclc,"Tucker, Wilson,",1914-2006.,New York|Rinehart|1952,1952,1952,,,NotFiction,The long loud silence.
uc1.b3467600_1,uc1.b3467600,32518,sf_oclc,"Tucker, Wilson,",1914-2006.,New York|Rinehart|1952,1952,1952,,,NotFiction,The long loud silence.
uc1.$b312023_0,uc1.$b312023,48035,sf_oclc,"Romains, Jules,",1885-1972.,London|Sidgwick and Jackson|1952,1952,1952,,,Fiction,Tussles with time. | $c: Translated by Gerard Hopkins.
uc1.$b312023_1,uc1.$b312023,47601,sf_oclc,"Romains, Jules,",1885-1972.,London|Sidgwick and Jackson|1952,1952,1952,,,Fiction,Tussles with time. | $c: Translated by Gerard Hopkins.
mdp.39015038917210,mdp.39015038917210,25586,sf_loc,"Slobodkin, Louis,",1903-,New York|Macmillan|1952.,1952,1952,,Science fiction,Fiction,The space ship under the apple tree
mdp.49015001037275_0,mdp.49015001037275,44612,sf_loc,"Asimov, Isaac,",1920-1992.,"Garden City, N. Y.|Doubleday|c1952.",1952,1952,,Science fiction,Fiction,Foundation and empire
mdp.49015001037275_1,mdp.49015001037275,47145,sf_loc,"Asimov, Isaac,",1920-1992.,"Garden City, N. Y.|Doubleday|c1952.",1952,1952,,Science fiction,Fiction,Foundation and empire
inu.39000002826803_0,inu.39000002826803,50468,sf_loc,"Bleiler, Everett Franklin,",1920-,"New York|Farrar, Straus and Young|1952",1952,1952,,Science fiction,NotFiction,"Imagination unlimited, | science-fiction and science, | $c: edited by Everett F. Bleiler and T. E. Dikty."
inu.39000002826803_1,inu.39000002826803,52521,sf_loc,"Bleiler, Everett Franklin,",1920-,"New York|Farrar, Straus and Young|1952",1952,1952,,Science fiction,NotFiction,"Imagination unlimited, | science-fiction and science, | $c: edited by Everett F. Bleiler and T. E. Dikty."
inu.39000002826803_2,inu.39000002826803,51710,sf_loc,"Bleiler, Everett Franklin,",1920-,"New York|Farrar, Straus and Young|1952",1952,1952,,Science fiction,NotFiction,"Imagination unlimited, | science-fiction and science, | $c: edited by Everett F. Bleiler and T. E. Dikty."
mdp.39015000957574_0,mdp.39015000957574,44077,sf_oclc,"Asimov, Isaac,",1920-1992.,"Garden City, N.Y.|Doubleday|196-? c1952",1952,1952,,,UnknownGenre,Foundation and empire.
mdp.39015000957574_1,mdp.39015000957574,47430,sf_oclc,"Asimov, Isaac,",1920-1992.,"Garden City, N.Y.|Doubleday|196-? c1952",1952,1952,,,UnknownGenre,Foundation and empire.
uc1.32106015121020_0,uc1.32106015121020,59908,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1952,v.2,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
uc1.32106015121020_1,uc1.32106015121020,59906,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1952,v.2,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
uc1.32106015121020_2,uc1.32106015121020,60106,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1952,v.2,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
mdp.39015066050850_0,mdp.39015066050850,65438,sf_oclc,"Vonnegut, Kurt.",,New York|Scribner|1952.,1952,1952,,,NotFiction,Player piano.
mdp.39015066050850_1,mdp.39015066050850,63474,sf_oclc,"Vonnegut, Kurt.",,New York|Scribner|1952.,1952,1952,,,NotFiction,Player piano.
uc1.32106012654197_0,uc1.32106012654197,31655,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1952.,1952,1952,,,NotFiction,The voyage of the Dawn Treader. | $c: Illus. by Pauline Baynes.
uc1.32106012654197_1,uc1.32106012654197,31828,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1952.,1952,1952,,,NotFiction,The voyage of the Dawn Treader. | $c: Illus. by Pauline Baynes.
uc1.b4095332_0,uc1.b4095332,38142,fantasy_oclc,"Heard, Gerald,",1889-1971.,New York|Harper|1952,1952,1952,,,NotFiction,Gabriel and the creatures; | $c: illustrated by Susanne Suba.
uc1.b4095332_1,uc1.b4095332,38719,fantasy_oclc,"Heard, Gerald,",1889-1971.,New York|Harper|1952,1952,1952,,,NotFiction,Gabriel and the creatures; | $c: illustrated by Susanne Suba.
mdp.39076005205393_0,mdp.39076005205393,45345,fantasy_loc,,,"Boston|Little, Brown|1952-",1952,1952,,"Science fiction|Magazine of fantasy and science fiction (Cornwall, Conn.)|Fantasy fiction",UnknownGenre,The best from Fantasy and science fiction.
mdp.39076005205393_1,mdp.39076005205393,46767,fantasy_loc,,,"Boston|Little, Brown|1952-",1952,1952,,"Science fiction|Magazine of fantasy and science fiction (Cornwall, Conn.)|Fantasy fiction",UnknownGenre,The best from Fantasy and science fiction.
uc1.32106002091640_0,uc1.32106002091640,37359,sf_loc,"Bradbury, Ray,",1920-,"Garden City, N.Y.|Doubleday|1953.",1953,1953,,"Science fiction, American",NotFiction,The golden apples of the sun. | $c: Drawings by Joe Mugnaini.
uc1.32106002091640_1,uc1.32106002091640,42156,sf_loc,"Bradbury, Ray,",1920-,"Garden City, N.Y.|Doubleday|1953.",1953,1953,,"Science fiction, American",NotFiction,The golden apples of the sun. | $c: Drawings by Joe Mugnaini.
mdp.39015018624778_0,mdp.39015018624778,32810,sf_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Ballantine Books|c1953.,1953,1953,,,Fiction,Expedition to Earth : | eleven science-fiction stories
mdp.39015018624778_1,mdp.39015018624778,31872,sf_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Ballantine Books|c1953.,1953,1953,,,Fiction,Expedition to Earth : | eleven science-fiction stories
pst.000000187442,pst.000000187442,50170,sf_loc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Pyramid Books|c1953].,1953,1953,,Science fiction,NotFiction,Against the fall of night.
osu.32435053307864_0,osu.32435053307864,42922,sf_oclc,"Campbell, John W., (John Wood), Jr.",1910-1971.,New York|Ace Books|c1953.,1953,1953,,,Fiction,The black star passes
osu.32435053307864_1,osu.32435053307864,43776,sf_oclc,"Campbell, John W., (John Wood), Jr.",1910-1971.,New York|Ace Books|c1953.,1953,1953,,,Fiction,The black star passes
mdp.39015014506805_0,mdp.39015014506805,46849,sf_oclc,"Sturgeon, Theodore.",,"New York|Farrar, Straus and Young|1953",1953,1953,,,NotFiction,"More than human, | $c: by Theodore Sturgeon."
mdp.39015014506805_1,mdp.39015014506805,48487,sf_oclc,"Sturgeon, Theodore.",,"New York|Farrar, Straus and Young|1953",1953,1953,,,NotFiction,"More than human, | $c: by Theodore Sturgeon."
osu.32435059733857_0,osu.32435059733857,36970,fantasy_oclc,"Leiber, Fritz,",1910-1992.,New York|Twayne Publishers|c1953.,1953,1953,,Paranormal fiction,Fiction|Occult fiction,Conjure wife
osu.32435059733857_1,osu.32435059733857,35607,fantasy_oclc,"Leiber, Fritz,",1910-1992.,New York|Twayne Publishers|c1953.,1953,1953,,Paranormal fiction,Fiction|Occult fiction,Conjure wife
mdp.39015005766368_0,mdp.39015005766368,41131,fantasy_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Ballantine Books|1953,1953,1953,,,Fiction,Childhood's end.
mdp.39015005766368_1,mdp.39015005766368,43022,fantasy_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Ballantine Books|1953,1953,1953,,,Fiction,Childhood's end.
mdp.39015002672585_0,mdp.39015002672585,30818,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,London|G. Bles|1953,1953,1953,,,Fiction,The silver chair; | $c: with illus. by Pauline Baynes.
mdp.39015002672585_1,mdp.39015002672585,33034,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,London|G. Bles|1953,1953,1953,,,Fiction,The silver chair; | $c: with illus. by Pauline Baynes.
pst.000032564310_0,pst.000032564310,32374,sf_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,"New York|Ballantine Books|1991], c1954.",1954,1954,,,NotFiction|Interplanetary voyages|Science fiction,Prelude to space
pst.000032564310_1,pst.000032564310,32746,sf_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,"New York|Ballantine Books|1991], c1954.",1954,1954,,,NotFiction|Interplanetary voyages|Science fiction,Prelude to space
mdp.39015029750877,mdp.39015029750877,46576,sf_oclc,"Hubbard, L. Ron (La Fayette Ron),",1911-1986.,New York|Ace Books|1954.,1954,1954,,,Fiction,Return to tomorrow
uc1.b3545502_0,uc1.b3545502,69298,fantasy_loc|sf_loc,"Merril, Judith,",1923-1997.,New York|Random House|1954,1954,1954,,Science fiction|Fantasy fiction,NotFiction,Beyond the barriers of space and time.
uc1.b3545502_1,uc1.b3545502,68465,fantasy_loc|sf_loc,"Merril, Judith,",1923-1997.,New York|Random House|1954,1954,1954,,Science fiction|Fantasy fiction,NotFiction,Beyond the barriers of space and time.
uc1.b3347098_0,uc1.b3347098,46140,sf_oclc,"Shafer, Robert Jones,",1915-,New York|Putnam|1954,1954,1954,,,NotFiction,The conquered place.
uc1.b3347098_1,uc1.b3347098,46839,sf_oclc,"Shafer, Robert Jones,",1915-,New York|Putnam|1954,1954,1954,,,NotFiction,The conquered place.
uc1.b3347098_2,uc1.b3347098,46903,sf_oclc,"Shafer, Robert Jones,",1915-,New York|Putnam|1954,1954,1954,,,NotFiction,The conquered place.
mdp.39015046832849_0,mdp.39015046832849,42715,sf_oclc,"Pangborn, Edgar,",1909-1976.,"Garden City, N.Y.|Doubleday|1954.",1954,1954,,,Fiction,A mirror for observers.
mdp.39015046832849_1,mdp.39015046832849,48310,sf_oclc,"Pangborn, Edgar,",1909-1976.,"Garden City, N.Y.|Doubleday|1954.",1954,1954,,,Fiction,A mirror for observers.
pst.000018315271,pst.000018315271,59075,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,"New York|Macmillan Pub. Co.|1988, c1954.",1954,1954,1988,,NotFiction,The horse and his boy
uc1.32106015420547_0,uc1.32106015420547,73349,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings
uc1.32106015420547_1,uc1.32106015420547,74924,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings
uc1.32106015420547_2,uc1.32106015420547,73503,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings
mdp.39015005607919_0,mdp.39015005607919,61471,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,,,Fiction,The lord of the rings.
mdp.39015005607919_1,mdp.39015005607919,62568,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,,,Fiction,The lord of the rings.
mdp.39015005607919_2,mdp.39015005607919,63930,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,,,Fiction,The lord of the rings.
mdp.39015054025773_0,mdp.39015054025773,60886,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.
mdp.39015054025773_1,mdp.39015054025773,62620,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.
mdp.39015054025773_2,mdp.39015054025773,64343,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.
mdp.39076002607377,mdp.39076002607377,21757,fantasy_oclc|juv,"Brown, Palmer.",,New York|Harper|c1954.,1954,1954,,Juvenile fiction|Railroad travel|Girls|Conduct of life|Aunts,NotFiction,Beyond the pawpaw trees : | the story of Anna Lavinia/ | $c: by Palmer Brown ; drawings by the author.
mdp.39015002189283_0,mdp.39015002189283,37624,sf_oclc,"Golding, William,",1911-1993.,"New York|Coward-McCann|1955, c1954",1955,1955,,,Fiction,"Lord of the flies, | a novel."
mdp.39015002189283_1,mdp.39015002189283,37714,sf_oclc,"Golding, William,",1911-1993.,"New York|Coward-McCann|1955, c1954",1955,1955,,,Fiction,"Lord of the flies, | a novel."
mdp.39015030718657_0,mdp.39015030718657,48668,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin."
mdp.39015030718657_1,mdp.39015030718657,51492,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin."
mdp.39015030718657_2,mdp.39015030718657,50398,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin."
mdp.39015054059525_0,mdp.39015054059525,54959,fantasy_oclc,"Bradbury, Ray,",1920-2012.,New York|Ballantine Books|1955,1955,1955,,,Fiction,"The October country, | $c: illustrated by Joe Mugnaini."
mdp.39015054059525_1,mdp.39015054059525,55372,fantasy_oclc,"Bradbury, Ray,",1920-2012.,New York|Ballantine Books|1955,1955,1955,,,Fiction,"The October country, | $c: illustrated by Joe Mugnaini."
pst.000011216162,pst.000011216162,50851,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1955].,1955,1955,,,NotFiction,The magician's nephew
pst.000025483086,pst.000025483086,47683,fantasy_oclc|juv,"Boston, L. M. (Lucy Maria),",1892-1990,"San Diego|Harcourt, Brace, Jovanovich|c1955.",1955,1955,,Space and time|Juvenile fiction,NotFiction,The children of Green Knowe
osu.32435068347988_0,osu.32435068347988,43533,fantasy_oclc,"Hughes, Riley.",,Milwaukee|Bruce Pub. Co.|1955,1955,1955,,,NotFiction,The hills were liars : | a novel
osu.32435068347988_1,osu.32435068347988,45380,fantasy_oclc,"Hughes, Riley.",,Milwaukee|Bruce Pub. Co.|1955,1955,1955,,,NotFiction,The hills were liars : | a novel
mdp.39015014136587_0,mdp.39015014136587,32829,sf_oclc,"Pohl, Frederik.",,"New York, N.Y.|Ballantine Books|1971, c1956|(1st printing, April, 1971)",1956,1956,,,Fiction,Undersea fleet
mdp.39015014136587_1,mdp.39015014136587,33197,sf_oclc,"Pohl, Frederik.",,"New York, N.Y.|Ballantine Books|1971, c1956|(1st printing, April, 1971)",1956,1956,,,Fiction,Undersea fleet
uc1.32106015120998_0,uc1.32106015120998,58631,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1956,v.5,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
uc1.32106015120998_1,uc1.32106015120998,61426,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1956,v.5,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
uc1.32106015120998_2,uc1.32106015120998,59682,sf_loc,"Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1956,v.5,"Science fiction, American",Fiction,The complete stories of Theodore Sturgeon
mdp.39015005058410,mdp.39015005058410,24083,fantasy_oclc,"Hesse, Hermann,",1877-1962.,London|P. Owen|1956,1956,1956,,,NotFiction,The journey to the East.
mdp.39015038922723,mdp.39015038922723,52885,fantasy_oclc|juv,"Lewis, C. S. (Clive Staples),",1898-1963.,London|The Bodley Head|1956.,1956,1956,,,NotFiction,"The last battle, | a story for children; | $c: illustrated by Pauline Baynes."
mdp.39015030945789_0,mdp.39015030945789,33772,sf_loc,"Anderson, Poul,",1926-2001.,"New York|Avon Books|1970, c1957|(1st Camelot printing, January 1970)",1957,1957,,Science fiction|Short stories,NotFiction,Earthman's burden
mdp.39015030945789_1,mdp.39015030945789,35981,sf_loc,"Anderson, Poul,",1926-2001.,"New York|Avon Books|1970, c1957|(1st Camelot printing, January 1970)",1957,1957,,Science fiction|Short stories,NotFiction,Earthman's burden
uc1.b4082361_0,uc1.b4082361,32185,sf_oclc,"(Terence Hanbury), White, T. H.",1906-1964.,New York|Putnam|c1957.,1957,1957,,,Fiction,The master : | an adventure story
uc1.b4082361_1,uc1.b4082361,32798,sf_oclc,"(Terence Hanbury), White, T. H.",1906-1964.,New York|Putnam|c1957.,1957,1957,,,Fiction,The master : | an adventure story
mdp.49015000593328_0,mdp.49015000593328,41259,sf_oclc,"Heinlein, Robert A. (Robert Anson),",1907-1988.,New York|New American Library|c1957.,1957,1957,,,Fiction,The door into summer
mdp.49015000593328_1,mdp.49015000593328,40965,sf_oclc,"Heinlein, Robert A. (Robert Anson),",1907-1988.,New York|New American Library|c1957.,1957,1957,,,Fiction,The door into summer
mdp.39015029191478_0,mdp.39015029191478,95525,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1957,v.1,"Science fiction, American",Bibliographies|Fiction,The collected stories of Robert Silverberg.
mdp.39015029191478_1,mdp.39015029191478,98079,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1957,v.1,"Science fiction, American",Bibliographies|Fiction,The collected stories of Robert Silverberg.
mdp.39015029191478_2,mdp.39015029191478,98275,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1957,v.1,"Science fiction, American",Bibliographies|Fiction,The collected stories of Robert Silverberg.
uc1.$b101738_0,uc1.$b101738,41770,sf_oclc,"Mantley, John.",,New York|Dutton|1957.,1957,1957,,,NotFiction,The 27th day.
uc1.$b101738_1,uc1.$b101738,41798,sf_oclc,"Mantley, John.",,New York|Dutton|1957.,1957,1957,,,NotFiction,The 27th day.
uc1.b4094480_0,uc1.b4094480,43469,sf_oclc,"Wyndham, John,",1903-1969.,New York|Ballantine Books|c1957,1957,1957,,,Fiction,"The Midwich cuckoos, | $c: by John Wyndham."
uc1.b4094480_1,uc1.b4094480,46506,sf_oclc,"Wyndham, John,",1903-1969.,New York|Ballantine Books|c1957,1957,1957,,,Fiction,"The Midwich cuckoos, | $c: by John Wyndham."
inu.30000054447648_0,inu.30000054447648,53240,fantasy_oclc,"White, T. H. (Terence Hanbury),",1906-1964.,London|Collins|1957.,1957,1957,,Arthurian romances,Fiction,The sword in the stone
inu.30000054447648_1,inu.30000054447648,53869,fantasy_oclc,"White, T. H. (Terence Hanbury),",1906-1964.,London|Collins|1957.,1957,1957,,Arthurian romances,Fiction,The sword in the stone
mdp.39015056246211_0,mdp.39015056246211,35595,sf_loc,"Bester, Alfred.",,New York|New American Library|c1958.,1958,1958,,"Science fiction, American",Short stories,Starburst
mdp.39015056246211_1,mdp.39015056246211,35387,sf_loc,"Bester, Alfred.",,New York|New American Library|c1958.,1958,1958,,"Science fiction, American",Short stories,Starburst
mdp.39015008161781,mdp.39015008161781,59940,sf_oclc,"Anderson, Poul,",1926-2001.,New York|Ace Books|c1958,1958,1958,,,UnknownGenre,War of the wing-men.
mdp.49015001393561_0,mdp.49015001393561,95544,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1958,,"Science fiction, American",Fiction|Bibliographies,The collected stories of Robert Silverberg.
mdp.49015001393561_1,mdp.49015001393561,98674,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1958,,"Science fiction, American",Fiction|Bibliographies,The collected stories of Robert Silverberg.
mdp.49015001393561_2,mdp.49015001393561,98962,sf_loc,"Silverberg, Robert.",,New York|Bantam Books|1992-,0,1958,,"Science fiction, American",Fiction|Bibliographies,The collected stories of Robert Silverberg.
uc1.32106014483108,uc1.32106014483108,47045,fantasy_oclc|sf_loc,"Leiber, Fritz,",1910-1992,S.l.|s.n.|19--,0,1958,,"Science fiction, American",NotFiction,The big time
osu.32435057544645_0,osu.32435057544645,34060,sf_loc,"Sutton, Jeff.",,New York|Ace Books|1958.,1958,1958,,Science fiction,Science fiction|NotFiction,First on the moon
osu.32435057544645_1,osu.32435057544645,33521,sf_loc,"Sutton, Jeff.",,New York|Ace Books|1958.,1958,1958,,Science fiction,Science fiction|NotFiction,First on the moon
pst.000044416584,pst.000044416584,18589,fantasy_oclc,"Duggan, Maurice.",,New York|Criterion Books|c1958.,1958,1958,D854fal 1958,,NotFiction,Falter Tom and the water boy.
mdp.39015062064459_0,mdp.39015062064459,38832,sf_oclc,"Hoyle, Fred, Sir.",,New York|Harper|1959,1959,1959,,,Fiction,Ossian's ride.
mdp.39015062064459_1,mdp.39015062064459,39760,sf_oclc,"Hoyle, Fred, Sir.",,New York|Harper|1959,1959,1959,,,Fiction,Ossian's ride.
mdp.39076005189357_0,mdp.39076005189357,82195,sf_loc,"Boucher, Anthony,",1911-1968.,"Garden City, N.Y.|Doubleday|1959.",1959,1949,,Science fiction,Fiction,A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
mdp.39076005189357_1,mdp.39076005189357,76173,sf_loc,"Boucher, Anthony,",1911-1968.,"Garden City, N.Y.|Doubleday|1959.",1959,1949,,Science fiction,Fiction,A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
mdp.39076005189357_2,mdp.39076005189357,80393,sf_loc,"Boucher, Anthony,",1911-1968.,"Garden City, N.Y.|Doubleday|1959.",1959,1949,,Science fiction,Fiction,A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
