docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
mdp.39015063561917_3,mdp.39015063561917,112980,random,"Lytton, Edward Bulwer Lytton,",,"New York;Lovell, Coryell & company;189-?",1890,1848,v.5,,,The complete works of Edward Bulwer Lytton (Lord Lytton)
uc2.ark+=13960=t5s758j22_0,uc2.ark+=13960=t5s758j22,37418,random,"Lytton, Edward Bulwer Lytton,",,London;R. Bentley;1848.,1848,1848,v.002,"History;1022?-1066;King of England;Edward, the Confessor, 1042-1066;Great Britain;I;Harold;William;1027 or 8-1087;Fiction",,"Harold, the last of the Saxon kings;"
uc2.ark+=13960=t5s758j22_1,uc2.ark+=13960=t5s758j22,37704,random,"Lytton, Edward Bulwer Lytton,",,London;R. Bentley;1848.,1848,1848,v.002,"History;1022?-1066;King of England;Edward, the Confessor, 1042-1066;Great Britain;I;Harold;William;1027 or 8-1087;Fiction",,"Harold, the last of the Saxon kings;"
uc2.ark+=13960=t3cz33528_0,uc2.ark+=13960=t3cz33528,60651,random,"Cooper, James Fenimore,",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
uc2.ark+=13960=t3cz33528_1,uc2.ark+=13960=t3cz33528,59896,random,"Cooper, James Fenimore,",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
uc2.ark+=13960=t3cz33528_2,uc2.ark+=13960=t3cz33528,59181,random,"Cooper, James Fenimore,",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
njp.32101068581915_0,njp.32101068581915,98641,random,"Cooper, James Fenimore,",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
njp.32101068581915_1,njp.32101068581915,94136,random,"Cooper, James Fenimore,",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
njp.32101068581915_2,njp.32101068581915,98829,random,"Cooper, James Fenimore,",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
njp.32101068581915_3,njp.32101068581915,82596,random,"Cooper, James Fenimore,",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
