"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","tags","subjects","genres","title"
"uc1.b249690",6502185,5746608,"PZ3.H189F","Hammond, Henrietta Hardy,",,"New York;G. W. Harlan & co.;1882.",1882,1882,"xx ",,"randomB",,,"A fair philosopher"
"uc1.31822038205886",10824331,7323815,,"Wheeler, Edward L.",,"Cleveland, Ohio;A. Westbrook;1899, c1885",1885,1885,"ohu",,"randomB","Western stories;Dime novels",,"Deadwood Dick in Leadville, or, A strange stroke for liberty"
"nyp.33433074951868",8666990,21062098,,"Fane, Violet,",,"New York;D. Appleton;1889.",1889,1889,"nyu",,"randomB","English fiction",,"The story of Helen Davenant"
"uc2.ark+=13960=t7tm74053",7658505,2427766,,"Evans, Augusta J.",,"New York;Co-Operative Publication Society;c1887.",1887,1887,"nyu",,"randomB",,,"Inez, a tale of the Alamo"
"mdp.39015063947314",246740,5438664,,"Payn, J.",,"New York;G. Munro;188?",1880,1880,"nyu",,"randomB",,,"The canon's ward"
"mdp.39015062210110",239371,21615329,"F1054.B6F8","Fraser, Joshua.",,"Montreal;Printed by J. Lovell & son;1881.",1881,1881,"quc",,"randomB","Black River, Quebec",,"Three months among the moose"
"nyp.33433075828362",8677215,37689428,,"Ohnet, Georges,",,"Chicago [etc.;Rand, McNally & Co.;1889.",1889,1889,"ilu",,"randomB","French fiction",,"The ironmaster; or, Love and pride"
"mdp.39015063923091",280474,9299089,"PZ3.L71K","Litchfield, Grace Denio,",,"New York;London;G. P. Putnam's sons;1885.",1885,1885,"nyu",,"randomB",,,"The knight of the Black Forest"
"uc1.b3327118",7923047,5197981,,"Rollins, Alice Wellington,",,"Boston;W. E. Smythe Co.;1888.",1888,1888,"mau",,"randomB",,,"Uncle Tom's tenement"
"mdp.39015013785202",280438,17683945,"PZ3.L658L","Linton, E. Lynn",,"New York;R. Worthington;1882.",1882,1882,"nyu",,"randomB",,,"The life of Joshua Davidson;"
"uc1.b2911955",7914064,27396875,,"Hugo, Victor,",,"Boston;Little, Brown and company;1887-88",1887,1887,"mau","v.7","randomB",,,"[Works"
"uiuo.ark+=13960=t57d3822s",8719890,21249829,"PZ3.F82Fr","Fothergill, Jessie,",,"London;R. Bentley and Son;1888.",1888,1888,"enk","v.3","randomB",,,"From Moor isles"
"mdp.39015056741005",449049,5114011,"PR4803.H6S5 1883","Horne, R. H.",,"London;G. Redway;1883.",1883,1883,"enk",,"randomB",,,"Sithron, the star-stricken"
"nyp.33433074810668",8662961,37117365,,"Chase, Jessie Anderson,",,"Chicago;A.C. McClurg & Company;1898.",1898,1898,"ilu",,"randomB",,,"Three freshmen;"
"njp.32101068599081",1027397,2354550,"PS1829.W3 1890","Harte, Bret,",,"London;Chatto & Windus;1890.",1890,1890,"enk",,"randomB",,,"A waif of the plains"
"uc1.b25499",6558959,2352327,,"Brown, J. Moray",,"Edinburgh;W. Blackwood;1893.",1893,1893,"stk","v. 2","randomB","Hunting;India;Fishing;Great Britain",,"Stray sport"
"njp.32101064919044",9246194,10477335,,"Craik, Georgiana M.",,"London;Richard Bentley and Son;1891.",1891,1891,"enk","vol.3","randomB",,,"Patience Holt"
"mdp.39015066681597",1113097,642679,"PZ3.J234TrPS2116.T7 1890","James, Henry,",,"Boston;New York;Houghton, Mifflin;1890.",1890,1890,"mau","v.1","randomB",,,"The tragic muse"
"nyp.33433075752265",8667887,22655535,"PZ3.S749A","Spender, Harold,",,"New York;The Merriam Company;c1895",1895,1895,"nyu",,"randomB","Revolution, 1789-1799;History;France;Fiction",,"At the sign of the guillotine"
"mdp.39015063964624",206311,2274643,"PZ3.W6614K","Willard, Eugene S.,",,"New York;Chicago;F. H. Revell company;c1892",1892,1892,"nyu",,"randomB",,,"Kin-da-shon's wife;"
"uc1.$b734293",1358948,4476645,,"Bandello, Matteo,",,"London;Printed for the Villon Society by private subscription and for private circulation only;1890.",1890,1890,"enk","v. 4","randomB",,,"The novels of Matteo Bandello"
"njp.32101063581332",8916642,5916350,,"Hilzinger, John George.",,"London;New York;F. T. Neely;1899.",1899,1899,"enk",,"randomB",,,"The skystone"
"uva.x001770565",7690904,6628901,,"Moore, George,",,"Leipzig;B. Tauchnitz;1898.",1898,1898,"gw ","V.2","randomB",,,"Evelyn Innes"
"nyp.33433074938485",8668595,18592606,,"Caird, Mona.",,"New York;Henry Holt and Company;1891.",1891,1891,"nyu",,"randomB",,,"A romance of the moors"
"uc2.ark+=13960=t9862dz8z",6590490,27390023,"PZ3.M361G","Gyp,",,"New York [etc.;Brentano's;c1895",1895,1895,"nyu",,"randomB",,,"A Gallic girl. (Le mariage de Chiffon)"
"mdp.39015012864313",1907183,38697401,,,,"New York;London;G. P. Putnam's Sons;1891",1891,1891,"nyu","ser.1","randomB","Ireland;Tales;Short stories, Irish",,"Representative Irish tales"
"nyp.33433075751507",8667893,5651959,,"Spettigue, H. H.",,"London;Chatto & Windus;1898.",1898,1898,"enk",,"randomB","English fiction",,"The heritage of Eve"
"uc2.ark+=13960=t7cr5tc0g",7689072,11508904,,"Holt, Emily Sarah,",,"London;John F. Shaw;1893",1893,1893,"enk",,"randomB",,,"One snowy night"
"uc1.b274118",6517712,6120722,"F865.B88","Brooks, Sarah Merriam.",,"San Francisco;C.A. Murdock & co., printers.;1894.",1894,1894,"cau",,"randomB","Voyages to the Pacific coast",,"Across the Isthmus to California in '52"
"njp.32101068150968",8883600,9277393,,"Doyle, Arthur Conan,",,"New York;D. Appleton;c1902",1902,1902,"nyu","vol.12","randomB",,,"Works"
"uc2.ark+=13960=t7pn91j9t",6514084,27860990,,"Loane, M.",,"London;E. Arnold;1908.",1908,1908,"enk",,"randomB","Poor;Charity",,"The next street but one;"
"nyp.33433076049851",8679255,19759541,"PS3535.A86B95 1904","Ray, Anna Chapin,",,"Boston;Little, Brown, and Company;1904.",1904,1904,"mau",,"randomB",,,"By the good Sainte Anne"
"nyp.33433074877659",8665842,23071415,,"Leverson, Ada.",,"London;E.G. Richards;1907.",1907,1907,"enk",,"randomB","English fiction",,"The twelfth hour"
"uc1.b3325448",6131665,2155052,,"Lee, Vernon,",,"London;New York;Lane;1906.",1906,1906,"enk",,"randomB",,,"Hauntings"
"njp.32101063580607",8916617,8186875,,"Humphrey, Zephine,",,"New York;Henry Holt and Company;1908.",1908,1908,"nyu",,"randomB",,,"Over against Green Peak"
"nyp.33433075873160",8691137,37289479,"PZ3.P962Qu","Raine, Allen,",,"Philadelphia;G.W. Jacobs & Co.;c1906",1906,1906,"pau",,"randomB",,,"Queen of the rushes;"
"nyp.33433074797907",7652601,2162265,"PZ3.B729Tw","Brady, Cyrus Townsend,",,"New York;London;The Macmillan Company;1905.",1905,1905,"nyu",,"randomB","1758-1805;Nelson, Horatio Nelson;1769-1821;I;Emperor of the French;Napoleon;Viscount;Fiction",,"The two captains;"
"uc2.ark+=13960=t7rn30r8z",7645600,951776,"PZ3.B1342M","Bacon, Josephine Daskam,",,"New York;McClure, Phillips & Co.;1902.",1902,1902,"nyu",,"randomB",,,"The madness of Philip"
"uc2.ark+=13960=t4qj7d715",286419,8843993,,"Crockett, S. R.",,"London;Hodder & Stoughton;1908.",1908,1908,"enk",,"randomB",,,"Princess penniless"
"uc2.ark+=13960=t39z9257x",7659183,1737654,"PZ3.G3537I","Gibbs, George,",,"Philadelphia;H. T. Coates & Co.;1901.",1901,1901,"pau",,"randomB",,,"In search of Mademoiselle"
"uc2.ark+=13960=t5j96261h",7676735,58772612,,"Whistler, Charles W.",,"London;New York;F. Warne;1904.",1904,1904,"enk",,"randomB",,,"A prince of Cornwall"
"njp.32101079836423",9038820,16780379,"PZ3.L644T","Lindelof, O. J. S.",,"Salt Lake City;Tribune Printing Company;1903.",1903,1903,"utu",,"randomB","Lost tribes of Israel;Fiction",,"A trip to the north pole, or, The discovery of the Ten Tribes, as found in the Arctic Ocean"
"njp.32101054938103",10250912,20509493,,,,"New York;London;The Colonial Press;c1900",1900,1900,"nyu","vol.19-20","randomB",,,"The World's great classics"
"coo.31924013525997",11405602,40524114,,"Moore, Frank Frankfort,",,"Leipzig;B. Tauchnitz;1903.",1903,1903,"gw ","v.1","randomB","Ireland;History;1649-1650;Fiction",,"Castle Omeragh"
"uc1.b3314221",6130562,,"PQ2397.I8","Sand, George,",,"Philadelphia;Printed only for subscribers by G. Barrie & son;1900-02",1900,1850,"|||","v. 15","randomB",,,"The masterpieces of George Sand"
"nyp.33433076041932",8679560,3896203,"PS3539.O9559H35 1902","Townsend, Horace,",,"New York;The Gorham Company;1902.",1902,1902,"nyu",,"randomB","Fiction;Silversmiths",,"A handful of silver"
"njp.32101072902180",8882516,777041744,,"Dumas, Alexandre,",,"Boston;Little, Brown and Co.;1904.",1904,1904,"mau","v.31","randomB",,,"The romances of Dumas"
"uc1.$b802362",9950375,,"PZ3.T9713K","Tyler, C. W.",,"New York;North River Publishing House;c1903",1903,1903,"nyu",,"randomB","Ku Klux Klan;Fiction",,"The K.K.K"
"uc2.ark+=13960=t06w9fp68",7922943,906867,,"Steel, Flora Annie Webster,",,"New York;Doubleday, Page & Co.;1907 [c1906",1907,1907,"nyu",,"randomB",,,"A sovereign remedy"
"uc2.ark+=13960=t5r786w2j",246540,1305863,,"Lewis, Alfred Henry,",,"New York;Grosset & Dunlap;1902",1902,1902,"nyu",,"randomB",,,"Wolfville nights"
"mdp.39015063917325",389536,6549228,,"Ford, Paul Leicester,",,"New York;Dodd, Mead & Company;1900.",1900,1900,"nyu",,"randomB",,,"Wanted--a match maker"
"inu.32000004460285",6058106,11147256,"PZ3.B599R","Nesbit, E.",,"New York;London;Harper & Brothers;1902.",1902,1902,"nyu",,"randomB",,,"The Red house;"
"mdp.39015002725631",389471,2891444,,"Ferber, Edna,",,"New York;Grosset & Dunlap;c1915",1915,1915,"nyu",,"randomB",,,"Emma McChesney & co"
"loc.ark+=13960=t0sq95j0t",1874958,2636417,,"Young, Harry,",,"Portland, Or.;Wells & company;1915.",1915,1915,"oru",,"randomB","Frontier and pioneer life;West (U.S.)",,"Hard knocks;"
"nyp.33433074964283",8667763,9070848,"PZ3.N812G","North, Laurence.",,"New York;G.H. Doran;1912",1912,1912,"nyu",,"randomB",,,"The Golightlys"
"mdp.39015047656130",1848436,44435884,,"Gorky, Maksim,",,"New York;P.F. Collier;191-?",1910,1910,"nyu",,"randomB",,,"Malva and other tales"
"uc2.ark+=13960=t57d2qn7t",321600,3092318,,"Kyne, Peter B.",,"New York;Grosset & Dunlap;c1914",1914,1914,"nyu",,"randomB",,,"The long chance"
"uc2.ark+=13960=t95719x0f",7658559,2998129,,"Ewing, Juliana Horatia,",,"London;G. Bell & Sons;1910.",1910,1910,"enk",,"randomB",,,"We and the world"
"uc2.ark+=13960=t6rx94103",7659540,7317213,"PZ3.O12S","Hall, Eliza Calvert.",,"Boston;Little, Brown;1910.",1910,1910,"mau",,"randomB",,,"Sally Ann's experience"
"nyp.33433011064833",8595229,9064510,,"Caldwell, Frank,",,"New York;Dodd, Mead;1910.",1910,1910,"nyu",,"randomB","Wolves;Dogs",,"Wolf the storm leader"
"nyp.33433076074966",8658863,9983707,"PZ3.L81La","Lockhart, Caroline,",,"Philadelphia;London;J.B. Lippincott Company;1912.",1912,1912,"pau",,"randomB",,,"The Lady Doc"
"mdp.39015030223849",1204162,4525038,"PQ2603.E586S413 1918","Berger, Marcel,",,"New York;London;G.P. Putnam's sons;1918.",1918,1918,"nyu",,"randomB","World War, 1914-1918;Fiction",,"The secret of the Marne;"
"uc1.b3940366",6758495,27092528,,"Garshin, V. M.",,"London;Duckworth & Co.;1912.",1912,1912,"enk",,"randomB",,,"The signal"
"nyp.33433076062763",835840,2944478,,"Stevens, Isaac Newton,",,"New York;William Rickey;1911.",1911,1911,"nyu",,"randomB","United States;Fiction;Women;Suffrage",,"An American suffragette"
"uc2.ark+=13960=t6057gs0x",6509035,30136433,"PN6161.B314","Banning, Pierson Worrall,",,"Los Angeles;Kitts Press;c1914",1914,1914,"cau",,"randomB",,,"[""One on you""]"
"nyp.33433076059207",8659822,8871363,,"Hall, Holworthy,",,"New York;Century;1915.",1915,1915,"nyu",,"randomB",,,"Pepper"
"wu.89006523229",11261400,22288044,,"Thompson, Leigh.",,"London;Mills & Boon;1918.",1918,1918,"enk",,"randomB","Rebellion, 1914-1915;History;Fiction;South Africa",,"The lion and the adder"
"uc2.ark+=13960=t95719531",7650534,4532893,"PZ3.A9373B3","Austin, Mary,",,"Boston;New York;Houghton Mifflin company;c1910",1910,1910,"mau",,"randomB|juv",,,"The basket woman; a book of Indian tales for children"
"loc.ark+=13960=t20c5jg2w",9578393,,"PS3539.U983F6 1911","Turtle, Mary McArthur (Thompson),",,"Washington, D.C.;Press of the Crane co.;c1911.",1911,1911,"dcu",,"randomB",,,"Follow the gleam"
"uc2.ark+=13960=t6445k297",7657660,999417,,"Dehan, Richard,",,"New York;A. L. Burt;c1910.",1910,1910,"nyu",,"randomB",,,"One braver thing"
"nyp.33433076044936",8661359,16810176,"PS3525.O421935S65 1920","Montanye, C. S.",,"New York;Moffat, Yard and Company;1920.",1920,1920,"nyu",,"randomB",,,"Some nephew!"
"nyp.33433076068612",8689752,729615,,"Grey, Zane,",,"New York and London;Harper & brothers;c1921",1921,1921,"xx ",,"randomB",,,"To the last man;"
"uc2.ark+=13960=t0xp6wd0g",7672078,2299941,,"Roy, Lillian Elizabeth,",,"New York;Grosset & Dunlap;c1922.",1922,1922,"nyu",,"randomB",,,"Polly in New York"
"uc1.b3416826",389515,1048057,"PZ3.F276Pl2","Fauset, Jessie Redmon",,"New York|Frederick A. Stokes company|1929.",1929,1929,"nyu",,"randomB",,"Fiction","Plum bun, | a novel without a moral, | $c: by Jessie Redmon Fauset."
"inu.30000048943728",6059432,1805988,,"Kennedy, Margaret,","1896-1967.","London|W. Heinemann Ltd.|1927.",1927,1927,"enk",,"randomB",,"Fiction","A long week-end / | $c: by Margaret Kennedy."
"uc2.ark+=13960=t7tm75f4v",1787597,6076385,,"Heidenstam, Verner von,",,"New York;The American-Scandinavian foundation; [etc., etc.;1920.",1920,1920,"nyu","v.1","randomB","History;Sweden;XII;Charles;Charles XII, 1697-1718;King of Sweden;1682-1718;Fiction",,"The Charles men"
"mdp.39015078575688",1032042,24765475,"PZ8.H427Br","Herr, Charlotte B.",,"New York;Dodd, Mead and company;1920.",1920,1920,"nyu",,"randomB|juv","Voyages, Imaginary",,"A brownie Robinson Crusoe"
"wu.89095286852",6916597,5672343,"PZ3.S299Ho","Scharten, C. Th. (Carel Theodorus),","1878-1950.","Boston|Small, Maynard & Co.|c1924.",1924,1924,"mau",,"randomB",,"Fiction","A house full of people / | $c: by E. and M. Scharten-Antink."
"nyp.33433075751465",6499116,2725131,"PZ3.S777Van","Stacpoole, H. De Vere",,"New York;R.M. McBride & Company;1922.",1922,1922,"nyu",,"randomB",,,"Vanderdecken"
"uc1.b3548194",6155991,19744061,,"Conrad, Joseph,","1857-1924.","London|J.M. Dent|1923-1925.",1923,1923,"enk","v.4","randomB",,"NotFiction","The works of Joseph Conrad."
"mdp.39015063918158",205373,1677698,"PZ3.F634F","Fletcher, J. S. (Joseph Smith),","1863-1935.","New York|A. A. Knopf|1925.",1925,1925,"nyu",,"randomB",,"Fiction","False scent, | $c: by J. S. Fletcher."
"uc1.$b85973",6592648,7414038,"PZ3.B45A1","Beresford, J. D. (John Davys),","1873-1947.","Indianapolis|The Bobbs-Merrill Company|c1926",1926,1926,"inu",,"randomB",,"NotFiction","Almost pagan, | $c: by J.D. Beresford ..."
"uc2.ark+=13960=t4cn71p8r",7695764,1913072,"PZ3.B348Pi","Bazin, Ren??,",,"New York and London;Harper & brothers;c1920",1920,1920,"xx ",,"randomB",,,"Pierre & Joseph"
"uc2.ark+=13960=t0vq2tj52",7650327,4838260,"PZ3.A3599La","Alder, William Fisher.",,"Los Angeles;Wayside Press;1921.",1921,1921,"cau",,"randomB",,,"The lagoon of desire"
"njp.32101037019146",9471937,2438029,,"McAlmon, Robert,","1896-1956.","Paris|Contact Publishing|1923",1923,1923,"fr ",,"randomB",,"Fiction","Post-adolescence / | $c: Robert McAlmon."
"uc1.b4027940",5858921,8541324,"D352.8.M4 A3413","Metternich-Winneburg, Pauline Clementine Marie Walburga S??ndor von Szlavnicza,",,"London;E. Nash & Grayson;1921.",1921,1921,"enk",,"randomB","F???_rstin von;1836-1921;Metternich-Winneburg, Pauline Clementine Marie Walburga S????ndor von Szlavnicza;IsBiographical",,"The days that are no more;"
"yale.39002001241638",9834397,3371469,"E185.96.H4","Haynes, Elizabeth Ross,",,"New York;DuBois and Dill;1921.",1921,1921,"nyu",,"randomB","IsBiographical;Biography;Bookplate;African Americans;1878-1971;Spingarn, Arthur B;(Arthur Barnett)",,"Unsung heroes"
