"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"uc1.32106014453754",7133815,1427884,,"Carr, John Dickson,","1906-1977","New York|Harper & Row|1963",1963,1963,"nyu",,"Detective and mystery stories, American","Fiction","The men who explained miracles; | six short stories and a novelette","random"
"mdp.39015003678128",431810,996616,"PZ3.F9544Co","Fuller, Edmund,","1914-","New York|Random House|1963",1963,1963,"nyu",,,"Fiction","The corridor.","random"
"uc1.$b808873",9948408,1289612,"PZ3.M718NanPS3531.I76","Piper, Evelyn.",,"New York|Atheneum|1964.",1964,1964,"nyu",,"Fiction|Nannies","Fiction","The nanny | $c: [by] Evelyn Piper [pseud.","random"
"uc1.32106001965562",7127416,6701691,,"Allingham, Margery,","1904-1966.","London|Heinemann|1964",1964,1964,"   ",,"Fiction|England|Campion, Albert (Fictitious character)|Private investigators","NotFiction","Police at the funeral.","random"
"mdp.39015052398826",3517524,45616167,,"Goldman, William,","1931-","Greenwich, Conn.|Fawcett|c1964.",1964,1964,"ctu",,,"Fiction","No way to treat a lady / | $c: by Harry Longbaugh.","random"
"pst.000044193720",7057835,675549,"PZ1.L9637Ni 2","Ludwig, Richard M.,","1920-","Boston|Heath|1964].",1964,1964,"xx ",2,"Fiction|Collections","NotFiction","9 short novels / | $c: edited by Richard M. Ludwig and Marvin B. Perry, Jr.","random"
"mdp.39015014135514",221557,968966,"PZ4.M872Cam","Morrieson, Ronald Hugh,","1922-1972.","Sydney|Angus and Robertson|1964",1964,1964,"at ",,,"Fiction","Came a hot Friday.","random"
"mdp.39015016440870",432967,1836236,"PZ4.H16Sn","Haldeman, Charles,","1931-1983.","New York|Simon and Schuster|1965",1965,1965,"nyu",,,"NotFiction","The snowman.","random"
"mdp.39015053575299",1015607,480882,"PZ3.S5892Li","Simenon, Georges,","1903-1989.","New York|Harcourt, Brace & World|1965",1965,1965,"nyu",,,"Fiction","The little saint. | $c: Translated from the French by Bernard Frechtman.","random"
"mdp.39015030701356",557742,282448,,"Derleth, August,","1909-1971.","New York|Candlelight Press|1965|(2nd printing, September 1965)",1965,1965,"nyu",,"Private investigators|England|Fiction|Pons, Solar (Fictitious character)","Mystery fiction|Fiction","The adventure of the Orient Express / | $c: by August Derleth ; with illustrations by Henry Lauritzen.","random"
"mdp.39015058806525",4924651,7840942,,"Schuder, Rosemarie.",,"Berlin|Seven Seas Pub.|1965.",1965,1965,"gw ",,,"Fiction","Witch's son / | $c: by Rosemarie Schuder ; [Translated by Joan Becker]","random"
"mdp.39015005753077",657321,362578,"Z4.A517Eg","Amis, Kingsley.",,"London|J. Cape|1965",1965,1965,"enk",,,"Fiction","The Egyptologists; | a novel, | $c: by Kingsley Amis and Robert Conquest.","random"
"uc1.31822012556585",8330074,1297503,"VM980.S5A3","Shelnick, Thomas",,"Garden City, N. Y.|Doubleday|1965",1965,1965,"nyu",,"Deep diving","NotFiction","Above and below, | $c: by Tom Shelnick, with Ray Cristina","random"
"uc1.$b115475",3088272,1406515,"PZ4.P322Ni","Patterson, Samuel H.,","1926-","New York|Knopf|1966",1966,1966,"nyu",,,"Fiction","A nickel's worth of ice | $c: [by] Sam Patterson.","random"
"uc1.b4350644",6223613,311972,"PZ4.P558Mo","Phillips, J. J.,","1944-","New York|Trident Press|1966",1966,1966,"nyu",,,"Fiction","Mojo hand.","random"
"uc1.b3347083",7926308,297426,"PZ3.K425Ab2","Kenyon, F. W. (Frank Wilson),","1912-","New York|Dodd, Mead|1966",1966,1966,"nyu",,"1788-1824|In literature|Baron|Byron, George Gordon Byron","Fiction","The absorbing fire; | the Byron legend, | $c: by F.W. Kenyon.","random"
"uc1.$b115488",6608971,1667695,"PZ4.A198Car","Adams, Alice,","1926-1999.","New York|New American Library|1966",1966,1966,"nyu",,,"Fiction","Careless love | $c: [by] Alice Adams.","random"
"uc1.b3346772",7926148,908783,,"Benchley, Nathaniel,","1915-1981.","New York|McGraw-Hill|1966",1966,1966,"nyu",,,"Fiction","The monument; | a satiric novel.","random"
"mdp.39015035335044",1112591,1208181,"PZ4.W564Il","Wheelis, Allen,","1915-","New York|Norton|1966",1966,1966,"nyu",,,"NotFiction","The illusionless man; | fantasies and meditations.","random"
"mdp.39015053607191",670980,1542732,"PZ3.M8312De","Morris, Edita,","1902-","New York|G. Braziller|1967",1967,1967,"nyu",,,"Fiction","Dear me, | and other tales from my native Sweden.","random"
"mdp.39015010524505",1232844,1314928,"DK268.3.W3","Wallach, Erica Glaser,","1922-","Garden City, N.Y.|Doubleday|1967.",1967,1967,"nyu",,"Personal narratives|Soviet Union|Political prisoners","NotFiction","Light at midnight | $c: [by] Erica Wallach.","random"
"mdp.39015066619159",1219564,3734249,"PZ4.O558Ex","Ongaro, Alberto,","1925-","London|Sydney [etc.|Bodley Head|1967.",1967,1967,"enk",,,"NotFiction","Excelsior; | $c: translated from the Italian by Giles Cremonesi.","random"
"inu.30000092015605",10558138,1975824,"PZ1.H176Sc","Hamalian, Leo,",,"New York|Popular Library|1967",1967,1967,"nyu",,,"NotFiction","Seven Russian short novel masterpieces, | $c: edited, with notes and introd., by Leo Hamalian and Vera Von Wiren-Garczynski.","random"
"uc1.$b119532",6611357,461706,"PZ4.S267Po","Saville, Malcolm.",,"London|Heinemann|1968.",1968,1968,"enk",,,"Fiction","Power of three.","random"
"uc1.$b451319",9105240,449423,"PZ4.W8869ViPS3573.O62","Woodfin, Henry.",,"New York|Harper & Row|1968",1968,1968,"nyu",,,"Fiction","Virginia's thing.","random"
"mdp.39015014862505",1189225,441711,"PZ4.Y5Or","Yglesias, Jose.",,"New York|Pantheon Books|1968",1968,1968,"nyu",,,"Fiction","An orderly life.","random"
"pst.000005340262",12286370,3500890,,"Kizerman, Rudolph.",,"London|Blackbird Books|1968.",1968,1968,"xx ",,,"NotFiction","Stand up in the world.","random"
"mdp.39015027552358",1032165,443920,"PZ4.G8144Ban","Greenleaf, Margery.",,"Chicago|Follett Pub. Co.|1968",1968,1968,"ilu",,,"Fiction","Banner over me; | a tale of the Norman Conquest. | $c: Illustrated by Charles Mikolaycak.","random"
"uc1.$b391245",9447519,87471,"PR6052.H29F5","Bharucha, Perin.",,"Bombay|Strand Book Club|1968",1968,1968,"ii ",,,"Fiction","The fire worshippers.","random"
"mdp.39015073494463",4353792,54711264,,,,"Washington, D.C.|Guild Press|c1969.",1969,1969,"dcu",,"Fiction|Gay erotic literature|Gay men","NotFiction","Ken Babcock's cherry.","random"
"mdp.39015030846771",473284,53274,"PR6003.O6757A6 1969","Bowen, Elizabeth,","1899-1973.","Freeport, N.Y.|Books for Libraries Press|1969",1969,1969,"nyu",,,"Fiction","Ann Lee's: | & other stories.","random"
"mdp.39015035610966",1002394,145740,"PK2978.E5F7",,,"New Delhi|Publications Division, Ministry of Information and Broadcasting, Govt. of India|1969",1969,1969,"ii ",,"Indic literature|Translations into English","NotFiction","Fragrant flowers: a literary collection from some Sahitya Akademi award winners; | authors' own selection.","random"
"mdp.39015043799801",1418012,4755,,"Blair, Clay,","1925-","New York|Dutton|1969.",1969,1969,"nyu",,,"UnknownGenre","The board room; | a novel.","random"
"uc1.b4363412",1244188,65445,"PZ4.K833DrPG7158.K6513","Konwicki, Tadeusz.",,"Cambridge, Mass.|M.I.T. Press|c1969",1969,1969,"mau",,,"Fiction","A dreambook for our time. | $c: Translated by David Welsh.","random"
"pst.000005440733",7490908,126070,"PZ4.V638NoPR6072.I32","Vickers, Frederick Bert,","1903-","Sydney|Australasian Book Society|1969.",1970,1970,"xx ",,"Australian fiction","NotFiction","No man is himself / | $c: a novel by F. B. Vickers.","random"
"uc1.$b800124",9952350,76638,,"Tracy, Don,","1905-1976.","New York|Trident Press|1970",1970,1970,"nyu",,,"Fiction","The last boat out of Cincinnati.","random"
"mdp.39015046372366",3097268,373938,"PZ4.K237AuPG3476.K43317","Kazakov, I͡Uriĭ,","1927-1982.","Moscow|Progress Publishers|1970",1970,1970,"ru ",,"Short stories, Russian|Translations into English|Manners and customs | Fiction","NotFiction","Autumn in the oak woods; | short stories | $c: [by] Yuri Kazakov. [Translated from the Russian, by Bernard Isaacs. Designed by M. Rudakov]","random"
"mdp.39015061468180",4983882,94097,"PZ4.L767EabPS3562.I58","Lippincott, David.",,"New York|Viking Press|c1970.",1970,1970,"nyu",,,"Novel","E pluribus bang! / | $c: David Lippincott.","random"
"uc1.b3462562",1428114,81237,,"Cooper, Jamie Lee.",,"Indianapolis|Bobbs-Merrill|1970",1970,1970,"inu",,,"UnknownGenre","The castaways.","random"
"mdp.39015030745650",484296,212239,"PZ4.H779FrPR6058.O54","Hood, Hugh.",,"Ottawa|Oberon Press|1971",1971,1971,"onc",,,"Fiction","The fruit man, the meat man & the manager; | stories.","random"
"uc1.b3554717",7859814,398530,,,,"New York|A. Gregory|c1971.",1971,1971,"nyu","v. 1","20th century|Nobel Prizes|Literature, Modern","NotFiction","Nobel Prize library.","random"
"uc1.32106014643891",7134122,31308068,,"Munro, Alice",,"New York|Plume|1983, c1971",1971,1971,"nyu",,"Fiction|Women|Girls","Fiction","Lives of girls and women / | $c: Alice Munro","random"
"uc1.b4357751",1377095,210829,"PZ4.R24ArPS3568.A79","Rauch, Earl Mac,","1949-","New York|Knopf; [distributed by Random House|1971.",1971,1971,"nyu",,,"Fiction","Arkansas adios.","random"
"uc1.b4451842",557862,129562,"PZ3.F2465In","Farrell, James T. (James Thomas),","1904-1979.","Garden City, N.Y.|Doubleday|1971.",1971,1971,"nyu",,,"Fiction","Invisible swords | $c: [by] James T. Farrell.","random"
"mdp.39015076849721",5670849,,,"Greene, Jay.",,"New York, N.Y.|Midwood Enterprises, Inc.|c1972.",1972,1972,"   ",,,"UnknownGenre","Cruise ship.","random"
"mdp.39015005587061",121339,1099418,,"Brunner, John,","1934-1995.","New York|Ace Books|c1972.",1972,1972,"nyu",,,"Fiction","The dramaturges of Yan / | $c: John Brunner.","random"
"uc1.b4951557",1187128,320544,"PZ4.T392ThPS3570.H38","Theroux, Alexander.",,"Boston|Gambit|1972.",1972,1972,"mau",,,"Fiction","Three wogs. -","random"
"uc1.b5181929",9058140,481201,"SF613.H33A29 1972","Hart, Sue (Susanne)",,"New York|Taplinger Pub. Co.|1972",1972,1972,"nyu",,"Veterinary medicine|Africa|Veterinarians|Correspondence, reminiscences, etc","NotFiction","Listen to the wild | $c: [by] Susanne Hart.","random"
"pst.000005702893",12297992,314282,"PZ3.U566Gi8PS3541.N58","Underwood, J. Cabaniss.",,"Freeport, N.Y.|Books for Libraries Press|1972.",1972,1972,"xxu",,,"NotFiction","Gilbert : | or, Then and now. / | $c: A thrilling story of the life and achievements of a Virginia Negro, by J. Cabaniss Underwood.","random"
"mdp.39015003636084",1112575,329526,"PZ3.W4696Op","Welty, Eudora,","1909-2001.","New York|Random House|1972",1972,1972,"nyu",,,"Fiction","The optimist's daughter.","random"
"uc1.b3739816",592377,648065,"PR9198.L37E5","Layton, Irving,","1912-","Toronto|McClelland and Stewart|c1972",1972,1972,"onc",,,"NotFiction","Engagements: | the prose of Irving Layton; | $c: edited by Seymour Mayne.","random"
"inu.30000005472042",1277029,370227,"GR340.N28","Naito, Hiroshi,","1925-","Rutland, Vt.|C. E. Tuttle Co.|1972",1972,1972,"vtu",,"Tales|Japan","NotFiction","Legends of Japan. | $c: Retold by Hiroshi Naito. Illus. by Masahiko Nishino.","random"
"pst.000005483969",7491137,317077316,,"Cohen, Matt,","1942-1999","Toronto|Coach House Press|c1972].",1972,1972,"xx ",,,"NotFiction","Too bad Galahad by Matt Cohen / | $c: Drawings by Margaret Hathaway.","random"
"mdp.39015066070890",628119,694646,"PZ3.C4637El4PR6005.H66","Christie, Agatha,","1890-1976.","London|Crime Club|1972.",1972,1972,"enk",,,"Fiction","Elephants can remember | $c: [by] Agatha Christie.","random"
"uc1.b3454978",6302114,340319,"PZ4.W673NuPS3573.I424","Wildman, Eugene.",,"Chicago|Swallow Press|1972",1972,1972,"ilu",,,"Fiction","Nuclear love.","random"
"uc1.32106002129325",7113032,539704,,"Macdonald, Ross,","1915-1983","New York|Knopf|1973.",1973,1973,"nyu",,"California|Fiction|Private investigators|Archer, Lew (Fictitious character)","Fiction","Sleeping beauty.","random"
"mdp.39015007058293",1188771,764103,"PZ3.W817BacPR6045.O53","(Pelham Grenville), Wodehouse, P. G.","1881-1975.","London|Barrie and Jenkins|1973.",1973,1973,"enk",,,"Fiction","Bachelors Anonymous | $c: [by] P. G. Wodehouse.","random"
"uc1.32106016701697",7112203,379310,,"Ponicsan, Darryl.",,"New York|Dial Press|1973.",1973,1973,"nyu",,,"Fiction","Andoshen, Pa.; | a novel.","random"
"uc1.b4355015",9508230,934947,,"Livingston, Gary.",,"London|Lyrebird Press|1973.",1973,1973,"enk",,,"Fiction","Exile's end.","random"
"uc1.b4463812",9519116,726573,,"Maloff, Saul.",,"New York|Scribner|1973",1973,1973,"nyu",,,"Fiction","Heartland; | a novel.","random"
"mdp.39015055110004",3780601,6307992,,"Thomas, Audrey Callahan.",,"Vancouver|Talonbooks|1976, c1973.",1973,1973,"bcc",,,"Fiction","Songs my mother taught me : | a novel / | $c: by Audrey Thomas.","random"
"uc1.$b395271",3959938,797067,"PZ4.J124Saw3PR9230.9.J3","Jackman, Oliver.",,"Washington|Howard University Press|1974.",1974,1974,"dcu",,"Fiction|Race identity|Blacks","Fiction","Saw the house in half, | a novel / | $c: Oliver Jackman.","random"
"mdp.39015000627235",682805,1912238,"PZ4.K872SwPS3561.O85","Kotzwinkle, William.",,"New York|Avon Books|1975.",1975,1975,"nyu",,,"Fiction","Swimmer in the secret sea : | a novel / | $c: by William Kotzwinkle.","random"
"inu.30000114305786",10557083,1288457,"PZ4.A1254GuPS3551.B26","Abbott, Keith,","1944-","Berkeley|Blue Wind Press|1975.",1975,1975,"cau",,,"Fiction","Gush / | $c: Keith Abbott.","random"
"pst.000012442515",12276258,2235362,,"Clauser, Suzanne.",,"New York, N.Y.|Avon Books|1975.",1975,1975,"xx ",,,"NotFiction","A girl named Sooner / | $c: Suzanne Clauser.","random"
"inu.39000005814327",940993,3360491,"E99.M8K36",,,"Albany|University of the State of New York, State Education Dept.|1976.",1976,1976,"nyu",,"Mohawk language|Mohawk Indians|Folklore|History|Texts","NotFiction","Kanien'kéha' Okara'shón:'a = | Mohawk stories / | $c: Josephine Horne ... [et al.]. ; Rita Phillips, illustrator ; Marianne Williams, editor.","random"
"mdp.39015002129552",739335,2595842,"PZ3.W817Wq4PR6045.O53","Wodehouse, P. G. (Pelham Grenville),","1881-1975.","London|Barrie and Jenkins|1976.",1976,1976,"enk",,,"Fiction","The world of Blandings / | $c: P. G. Wodehouse.","random"
"mdp.39015051168493",750694,3379568,"PZ4.A8575YePR9499.3.A84","Athar, Ikbal,","1916-","London|Macdonald and Jane's|1976.",1976,1976,"enk",,,"Fiction","The years of their lives / | $c: Ikbal Athar.","random"
"mdp.39015053381664",3566097,1991220,"PZ3.Y415RoPS3547.E65","Yerby, Frank,","1916-1991.","New York|Dial Press|1976.",1976,1976,"nyu",,"Fiction|Revolutionaries","Fiction","A rose for Ana Maria : | a novel / | $c: by Frank Yerby.","random"
"mdp.39015031222709",727333,2091497,,"Cameron, Lou,","1924-","New York|Ballantine Books|1976.",1976,1976,"nyu",,,"Fiction","The spirit horses / | $c: Lou Cameron.","random"
"coo.31924015913787",100151598,10489565,,"West, Kenyon.",,"Washington, D.C.|Preservation Press|1976.",1976,1976,"dcu",,"History | Fiction|Revolution, 1775-1783","Fiction","Cliveden / | $c: Kenyon West.","random"
"mdp.39015002274507",729505,2540567,"PZ4.N1537Ad","Naipaul, Seepersad.",,"London|Deutsch|1976.",1976,1976,"enk",,,"Fiction","The adventures of Gurudeva, and other stories / | $c: [by] Seepersad Naipaul ; with a foreword by V. S. Naipaul.","random"
"mdp.39015030945573",90856,3649752,,"Apter, T. E.",,"London|Heinemann|1977.",1977,1977,"enk",,,"Fiction","Adonis' garden / | $c: T. E. Apter.","random"
"mdp.39015066047898",736807,2632714,"PZ3.N617DePS3527.I865","Nin, Anaïs,","1903-1977.","New York|Harcourt Brace Jovanovich|1977.",1977,1977,"nyu",,"Erotic stories, American","Fiction","Delta of Venus : | erotica / | $c: by Anaïs Nin.","random"
"mdp.39015030010964",84203,2523363,"PZ4.K147MasPT9876.21.A45","Kallifatides, Theodor,","1938-","Garden City, N.Y.|Doubleday|1977.",1977,1977,"nyu",,,"Fiction","Masters and peasants / | $c: Theodor Kallifatides ; translated from the Swedish by Thomas Teal.","random"
"uc1.32106015791707",2490226,4776172,,"Nelson, Shirley.",,"New York|Harper & Row|c1978.",1978,1978,"nyu",,,"Fiction","The last year of the war / | $c: by Shirley Nelson.","random"
"uc1.b4951320",9499834,4118098,,"McFadden, Cyra.",,"New York|New American Library|1978, c1977.",1978,1978,"nyu",,,"Fiction","The serial : | a year in the life of Marin County / | $c: by Cyra McFadden ; illustrations by Tom Cervenak.","random"
"uc1.32106015466912",7116086,3707821,,"Matheson, Richard,","1926-","New York|Putnam|c1978.",1978,1978,"nyu",,"Fiction|Family relationships|Death|Guardian angels|Children|Future life|Widows|Loss (Psychology)|Suicide victims|Accident victims","Fiction|Bibliographies","What dreams may come : | a novel / | $c: by Richard Matheson.","random"
"uc1.b4951592",176813,4004899,,"White, Edmund,","1940-","New York|St. Martin's Press|c1978.",1978,1978,"nyu",,"Fiction|Gay men","Fiction","Nocturnes for the King of Naples / | $c: Edmund White.","random"
"mdp.39015030710589",258480,4559177,"PZ4.R81115MuPS3568.O778","Rosenbaum, Ron.",,"New York|Stonehill|c1978.",1978,1978,"nyu",,,"Fiction","Murder at Elaine's : | a novel / | $c: by Ron Rosenbaum.","random"
"mdp.39015014152915",174021,3913037,"PS3505.O99A6 1978","Cozzens, James Gould,","1903-1978.","Carbondale|Edwardsville|Southern Illinois University Press|New York|London : Harcourt Brace Jovanovich|1978.",1978,1978,"ilu",,"1903-1978|Cozzens, James Gould","NotFiction","Just representations : | a James Gould Cozzens reader / | $c: edited and with an introd. by Matthew J. Bruccoli.","random"
"mdp.49015003002582",5124767,4776752,"PZ4.M6478PasPS3563.I379","Miller, Dallas.",,"New York|Harper & Row|c1979.",1979,1979,"nyu",,,"Fiction","Passage West : | a novel / | $c: by Dallas Miller.","random"
"mdp.39015028025628",838733,6556990,"PZ4.M514592PePG2835.M4","Melez͡h, Ivan Paŭlavich,","1921-","Moscow|Progress Publishers|c1979.",1979,1979,"rur",,,"Fiction","People of the marsh / | $c: Ivan Melezh ; [translated by Natalie Ward ; ill. by Georgy Poplavsky].","random"
"mdp.39015022285798",2532780,17263784,"PS3551.N27T6 1988","Anaya, Rudolfo A.",,"Albuquerque|University of New Mexico Press|c1979.",1979,1979,"nmu",,,"Fiction","Tortuga : | a novel / | $c: by Rudolfo A. Anaya.","random"
"mdp.39015011691782",302233,5027567,"PZ4.H9844In 1979PR6058.U85","Huth, Angela,","1938-","New York|C. N. Potter : distributed by Crown Publishers|c1979.",1979,1979,"nyu",,,"Fiction","Infidelities / | $c: by Angela Huth.","random"
"mdp.39015048416435",180454,4136108,"PZ4.N53Go 1979PR6064.E847","New, Christopher.",,"New York|Coward, McCann & Geoghegan|c1979.",1979,1979,"nyu",,"1893-1976|Fictions|Mao, Zedong","Fiction","Goodbye Chairman Mao / | $c: Christopher New.","random"
"pst.000014249471",12263386,316937172,,"Marsh, Ngaio,","1895-1982.","Garden City, N.Y.|Nelson Doubleday, Inc.|c1980.",1980,1980,"xx ",,"Detective and mystery stories","NotFiction","Photo finish and two other great mysteries / | $c: Ngaio Marsh.","random"
"uc1.32106017382521",7140397,7860026,"PL2694.S5E5 1980",,,"Beijing|Foreign Languages Press|1980",1980,1980,"cc ","v.1",,"Fiction","Outlaws of the marsh / | $c: by Shi Nai'an and Luo Guanzhong ; translated by Sidney Shapiro","random"
"uc1.b3463023",693129,5888496,"PZ4.H457FlPS3558.E317;","Hedin, Mary.",,"Iowa City|University of Iowa Press|c1980.",1980,1980,"iau",,,"Fiction","Fly away home : | eighteen short stories / | $c: by Mary Hedin.","random"
"uc1.b4948503",9499649,6450573,,"Bogarde, Dirk,","1921-1999","London|Chatto and Windus|1980.",1980,1980,"xx ",,"Fiction in English","NotFiction","A gentle occupation : | a novel / | $c: by Dirk Bogarde.","random"
"mdp.39015008365226",709184,6389043,"PR6060.O64E3","Josipovici, Gabriel,","1940-","Brighton [Eng.|Harvester Press|c1980.",1980,1980,"enk",,,"Fiction","The echo chamber / | $c: Gabriel Josipovici.","random"
"uc1.32106005215675",7116844,7577482,,"Gilbert, Michael A.",,"New York|Linden Press/Simon & Schuster|1981.",1981,1981,"nyu",,,"Fiction","Office party / | $c: by Michael A. Gilbert.","random"
"mdp.39015048908365",804846,12420216,"PG9621.M8P313 1981","Musaraj, Shevqet.",,"Tirana|""8 Nëntori""|1981.",1981,1981,"aa ","v.2",,"Fiction","Before the dawn : | a novel / | $c: Shevqet Musaraj.","random"
"mdp.39015031601746",778771,8272175,"PQ3989.2.F177G713 1981","Fall, Aminata Sow.",,"Harlow, Essex|Longman|1981.",1981,1981,"enk",,,"Fiction","The beggars' strike, or, The dregs of society / | $c: Aminata Sow Fall ; translated by Dorothy S. Blair.","random"
"mdp.39015010914946",129344,6982304,"PG3476.R87T513","Rybakov, Anatoliĭ Naumovich.",,"New York|Viking Press|1981.",1981,1981,"nyu",,"Jews|Fiction|World War, 1939-1945|Soviet Union","Fiction","Heavy sand / | $c: Anatoli Rybakov ; translated from the Russian by Harold Shukman.","random"
"mdp.39015009045033",362066,8763707,"PS3552.R2435F6 1982","Brady, Maureen.",,"Trumansburg, NY|Crossing Press|c1982.",1982,1982,"nyu",,,"Fiction","Folly, a novel / | $c: by Maureen Brady.","random"
"mdp.39015066071658",192729,8689116,"D805.P7R33 1982","Rashke, Richard L.",,"Boston|Houghton Mifflin|1982.",1982,1982,"mau",,"Poland|Holocaust, Jewish (1939-1945)|Sobibór (Concentration camp)","NotFiction|Bibliographies","Escape from Sobibor / | $c: Richard Rashke.","random"
"mdp.39015000512015",230879,8837055,,"Gold, Herbert,","1924-","New York|Arbor House|c1982.",1982,1982,"nyu",,,"Fiction","True love / | $c: by Herbert Gold.","random"
"inu.39000000600960",6061219,11926377,,"Inko-Dokubo, Alaboigoni,","1944-","Port Harcourt, Nigeria|Seiyefa Publishing Co.|c1983.",1983,1983,"nr ",,,"NotFiction","The needle's eye / | $c: by ""Uncle Sam"" Alaboigoni Inko-Dokubo.","random"
"mdp.39015036768961",241299,8493598,,"Gaan, Margaret.",,"New York|Dodd, Mead|c1983.",1983,1983,"nyu",,,"Fiction","Little sister / | $c: by Margaret Gaan.","random"
"uc1.b4421476",6237697,9111429,"PS3552.R6975M6 1983","Lindbergh, Reeve.",,"Garden City, N.Y.|Doubleday|1983.",1983,1983,"nyu",,,"Fiction","Moving to the country / | $c: Reeve Lindbergh Brown.","random"
"uc1.b4439333",9517637,9393094,,"Edwards, Page.",,"New York|M. Boyars|Distributed in the US by Scribner|1983.",1983,1983,"nyu",,"New York (State)|Women|Artists' models|Fiction","Fiction","Peggy Salte / | $c: by Page Edwards.","random"
"mdp.39015013132827",347711,10146303,"PS3552.O932B8 1984","Boyle, T. Coraghessan.",,"New York|Viking|1984.",1984,1984,"nyu",,,"Fiction","Budding prospects : | a pastoral / | $c: T. Coraghessan Boyle.","random"
"mdp.39015033517122",469524,13182098,,"Bandler, Faith.",,"Glebe, N.S.W.|Wild & Woolley|c1984.",1984,1984,"at ",,,"UnknownGenre","Welou, my brother.","random"
"pst.000050309191",9813431,11677075,"PS3569.E46B38 1984","Segura, Chris.",,"Baton Rouge, La.|Inkwell Publications|c1984.",1984,1984,"lau",,"In art|Cajuns in art|Cajuns|Fiction|Social life and customs","Fiction","Bayou / | $c: forty short stories by Chris Segura ; forty paintings by George Rodrigue.","random"
"pst.000046807083",7050312,43479239,,"Vidal, Gore,","1925-","New York|Vintage International|2000, c1984.",1984,1984,"xxu",,"Lincoln, Abraham|Fiction|1809-1865|Presidents|United States","NotFiction|Biographical fiction","Lincoln : | a novel / | $c: Gore Vidal.","random"
"mdp.39015018594930",672752,12162107,,"Hearon, Shelby,","1931-","New York|Atheneum|1985.",1985,1985,"nyu",,,"Fiction","A small town / | $c: Shelby Hearon.","random"
"mdp.39015041293021",3177453,13077936,,"Soaba, Russell.",,"Washington, D.C. : Three Continents Press|c1985.",1985,1985,"dcu",,"Fiction|Papua New Guinean literature (English)","Fiction","Maiba : | a Papuan novel / | $c: Russell Soaba.","random"
"uc1.b3656513",6696471,15038995,,"Marty.",,"St. Croix|Mar Crafs|c1985.",1985,1985,"vi ",,,"Fiction","Church : | a story / | $c: by Marty.","random"
"mdp.39015010728999",376698,11980418,,,,"Wainscott, N.Y.|Pushcart Press|c1985.",1985,1985,"nyu",,,"Fiction","The Ploughshares reader : | new fiction for the eighties / | $c: edited and with an introduction by DeWitt Henry.","random"
"uc1.32106006970906",5985865,11187306,,"Strand, Mark,","1934-","New York|Knopf|1985.",1985,1985,"nyu",,"Manners and customs|Fiction","Fiction","Mr. and Mrs. Baby and other stories / | $c: by Mark Strand.","random"
"uc1.32106007417642",7104433,13665154,,"Pickard, Nancy.",,"New York|Scribner|c1986.",1986,1986,"nyu",,"Fiction|Women detectives|Massachusetts|Cain, Jenny (Fictitious character)","Fiction","No body : | a Jenny Cain mystery / | $c: Nancy Pickard.","random"
"mdp.39015011235275",630400,13331933,"PS3501.U25D43 1986","Auchincloss, Louis.",,"Boston|Houghton Mifflin Company|1986.",1986,1986,"mau",,,"Fiction|Publishers' advertisements","Diary of a yuppie / | $c: Louis Auchincloss.","random"
"mdp.39015014881778",590471,13397017,"E184.I8V35 1986","Valerio, Anthony,","1940-","New York|Freundlich Books|Distributed by Scribner|c1986.",1986,1986,"nyu",,"Italians|Italian Americans","NotFiction|ContainsBiogMaterial","Valentino and the great Italians / | $c: according to Anthony Valerio.","random"
"wu.89014307284",7530277,14377058,"PQ2667.E674R813 1987","Gerber, Alain,","1943-","San Francisco|Mercury House|c1987.",1987,1987,"cau",,,"Fiction","Rumor of an elephant : | a novel / | $c: by Alain Gerber ; translated by Jeremy Leggatt.","random"
"pst.000014226519",12268524,14414304,"PS648.B37O5 1987",,,"New York|Bonanza Books|Distributed by Crown Publishers|1987.",1987,1987,"xxu",,"Short stories, American|20th century|American fiction|Baseball stories, American","NotFiction","On the diamond : | a treasury of baseball stories / | $c: edited and with an introduction by Martin H. Greenberg.","random"
"uc1.b4386163",6230763,16870713,"PS3537.T27825H38 1988","Steele, Max,","1922-","Chapel Hill, N.C.|Algonquin Books|Dallas, Tex.|Taylor Pub. Co.|1988.",1988,1988,"ncu",,,"Fiction","The hat of my mother : | stories / | $c: by Max Steele.","random"
"inu.30000021364132",6060591,26831178,,"Odur, Agum C. (Agum Charles),","1957-","Dar es Salaam|MPB Enterprises|1988.",1988,1988,"tz ",,,"Fiction","Money oh! money : | and other stories / | $c: Agum C. Odur.","random"
"inu.30000002191439",6063721,22213517,"PR/9387.9/.B539/L66/1988x","Bialonwu, Uche.",,"Ikeja|Longman Nigeria|1988.",1988,1988,"nr ",,,"Fiction","The long claws of fate / | $c: Uche Bialonwu.","random"
"mdp.39015014504479",1105309,18952345,,"Budd, Carol.",,"New York|Pocket Books|1988.",1988,1988,"nyu",,,"Fiction","White lies / | $c: Carol Budd.","random"
"mdp.39015050246373",3511935,15489772,"PS3563.A2447C6 1988","McAleer, John J.",,"Woodstock, Vt.|Foul Play Press|c1988.",1988,1988,"vtu",,,"Fiction","Coign of vantage, or, The Boston Athenaeum murders / | $c: John McAleer.","random"
