"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"uva.x030592837",9793394,15645370,,"Ross, Miriam.",,"London;John Dicks;1871.",1871,1871,"enk",,,,"Against tide","random"
"wu.89098860778",5877069,13292825,,"King, Katharine",,"Boston;J. R. Osgood;1872.",1872,1872,"mau",,,,"Ethel Mildmay's follies","random"
"uiuo.ark+=13960=t6f19hx11",7668909,21963864,,"Oliphant,",,"London;Macmillan;1883.",1883,1873,"enk","v.3",,,"Hester","random"
"uiuo.ark+=13960=t2697r439",8718541,249308212,"PZ3.M285B","Maitland, Edward,",,"London;Richard Bentley and Son;1873.",1873,1873,"enk","v.2","Utopias;Fiction",,"By and by","random"
"uiuo.ark+=13960=t9m33fg91",8719861,21883897,,"Riddell, J. H.,",,"London;Tinsley Brothers;1874.",1874,1874,"enk","v.1",,,"Frank Sinclair's wife, and other stories","random"
"uc2.ark+=13960=t8v98249v",7683425,237745776,,"Townsend, Virginia Frances,",,"Boston;Lee and Shepard;1874.",1874,1874,"mau",,,,"Only Girls","random"
"njp.32101067523173",8959349,3316252,"PZ3.F114A","Fabre, Ferdinand,",,"New York;J. B. Ford & company;1875.",1875,1875,"nyu",,,,"The abbé Tigrane","random"
"nyp.33433074951751",914254,2220029,,"Dasent, George Webbe,",,"London;Chapman & Hall;1875.",1875,1875,"enk","v. 1","Vikings;Fiction",,"The vikings of the Baltic;","random"
"nyp.33433075764377",8691033,6370887,"PZ3.W2582V","Warriner, Edward A.",,"Boston;Roberts Brothers;1875.",1875,1875,"mau",,,,"Victor La Tourette","random"
"wu.89032371593",10027601,9073979,"DL447.S69","Potter, F[rederick] Scarlett,",,"London;Society for promoting Christian knowledge;New York;Pott, Young, & co.;1876",1876,1876,"nyu",,"Norway;History",,"Heroes of the North; or, Stories from Norwegian chronicle","random"
"mdp.39076005029983",8618307,2379174,,"Trollope, Anthony,",,"Philadelphia;Gebbie;1900-1902.",1900,1877,"pau","v.1",,,"The writings of Anthony Trollope","random"
"uc1.b3327243",7923121,51464799,,"Wood, Henry,",,"London;R. Bentley;1877-1882.",1877,1877,"enk","v. 18",,,"Mrs. Wood's novels","random"
"uc2.ark+=13960=t7vm48663",7692236,13368240,,"Russell, William Clark,",,"London;S. Low, Marston, Searle, and Rivington;1877.",1877,1877,"enk","v.0003",,,"The wreck of the ""Grosvenor""","random"
"uc2.ark+=13960=t8nc5th3p",9262182,2367889,"PS2116.D3 1892a","James, Henry,",,"New York;Harper & brothers;1892.",1892,1879,"nyu",,,,"Daisy Miller & An international episode","random"
"uc1.32106006504143",7122910,28894253,,"Eliot, George,",,"Edinburgh;W. Blackwood;1884?",1884,1879,"   ","v.2",,,"Works","random"
"uiuo.ark+=13960=t1hh75x0q",8723649,59218782,,"Queen.",,"London;Hurst and Blackett;1880.",1880,1880,"enk","v.3",,,"A Sylvan queen","random"
"mdp.39015063552254",244764,3024103,,"Gregg, Mary (Kirby)",,"London;Griffith and Farran, successors to Newbery and Harris;New York;E. P. Dutton and co.;1880",1880,1880,"enk",,,,"The discontented children and how they were cured","random"
"uc1.b4678991",11158616,,,"Hardy, Thomas,",,"London;Isbister;1880.",1880,1880,"   ",,,,"The trumpet major","random"
"uiuo.ark+=13960=t97664r47",8723649,59218782,,"Queen.",,"London;Hurst and Blackett;1880.",1880,1880,"enk","v.2",,,"A Sylvan queen","random"
"uc2.ark+=13960=t9q23t734",6060040,10580387,,"Grant, James,",,"London;Bentley;1881.",1881,1881,"enk","v.003",,,"The Cameronians","random"
