docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
pst.000033176208_1,pst.000033176208,64482,fantasy_oclc,"Boudreaux, Aleta.",,"Grand Bay, AL|Laughing Owl Pub.|c1998.",1998,1998,,,NotFiction|Bibliographies,Song of the white swan,1998,0.7464151588944289,1
mdp.39015046463629_2,mdp.39015046463629,100576,fantasy_oclc,"Martin, George R. R.",,New York|Bantam Books|1999.,1999,1999,,,Fiction,A clash of kings,1999,0.9826956268905782,1
mdp.39015046463629_1,mdp.39015046463629,101331,fantasy_oclc,"Martin, George R. R.",,New York|Bantam Books|1999.,1999,1999,,,Fiction,A clash of kings,1999,0.978300247945783,1
mdp.39015041124887_1,mdp.39015041124887,43122,fantasy_oclc,"Carmody, Isobelle.",,"Ringwood, Vic.|Viking|1996.",1996,1996,,,NotFiction,Green monkey dreams : | stories,1996,0.974868095513066,1
pst.000033357485_0,pst.000033357485,34834,fantasy_loc,"Brown, Steve C.",,"Stone Mtn., GA|White Wolf Game Studio|c1997.",1997,1997,,Fantasy games|Vampire (Game),NotFiction,Dirty secrets of the Black hand : | the calm of desperation,1997,0.9968536453326199,1
mdp.39015061468552,mdp.39015061468552,20185,fantasy_loc,,,"Elkton, Md.|Triangle Titles|c1996.",1996,1996,,"Fiction|Gays|Gays' writings, American|Science fiction, American|Flight|Fantasy fiction, American",Short stories,Icarus & angels : | flights of fantasy : gay SF,1996,0.9994224934507518,1
pst.000023270350_0,pst.000023270350,54287,fantasy_loc,"Lee, Tanith.",,s.l.|Guild America Books|1993.,1993,1993,,"Paradys (Imaginary place)|Fiction|Fantasy fiction, English",NotFiction,The book of the dead ; The book of the mad,1993,0.8466970481154876,1
mdp.39015045682393,mdp.39015045682393,53030,fantasy_loc,"Kushner, Tony.",,New York|Theatre Communications Group|1998.,1998,1998,,"Translations into English|Fantasy fiction, Yiddish|Yiddish literature",Fiction,"A dybbuk ; | and, The dybbuk melody and other themes and variations",1998,0.7005718744185414,1
mdp.39015050507618_3,mdp.39015050507618,86551,fantasy_oclc,"Martin, George R. R.",,New York|Bantam Books|1996.,1996,1996,,,Fiction,A game of thrones,1996,0.9806946590055982,1
pst.000029233083_1,pst.000029233083,52459,fantasy_loc,"Reed, Robert.",,"Collinsville, Ill.|Golden Gryphon Press|c1999.",1999,1999,,"Science fiction, American|Fantasy fiction, American",Fiction,The dragons of Springplace : | stories,1999,0.9631870822775047,1
mdp.39015050507618_2,mdp.39015050507618,93827,fantasy_oclc,"Martin, George R. R.",,New York|Bantam Books|1996.,1996,1996,,,Fiction,A game of thrones,1996,0.9886690462258777,1
mdp.39015040060918_2,mdp.39015040060918,59921,fantasy_loc,,,"Lexington, Ky.|University Press of Kentucky|c1997.",1997,1997,,"Fantasy literature, English|Carroll, Lewis|1832-1898|Satire, English|Influence|Parodies, imitations, etc",NotFiction|Bibliographies,Alternative Alices : | visions and revisions of Lewis Carroll's Alice books : an anthology,1997,0.7762181041731637,1
mdp.39015037861179_1,mdp.39015037861179,61646,fantasy_loc,,,"Stone Mountain, Ga.|White Wolf Pub.|c1994.",1994,1994,,Fantasy fiction|Horror tales,Fiction|Horror tales|Fantastic fiction,Tombs,1994,0.990302202954858,1
mdp.49015002699131_0,mdp.49015002699131,77088,fantasy_loc,,,New York|Vintage International|1998.,1998,1998,,Fiction|Translations into English|Fantasy fiction|19th century,NotFiction,Fantastic tales : | visionary and everyday,1998,0.9682484978960791,1
uc1.b4431356_1,uc1.b4431356,48346,fantasy_oclc,"LaFarge, Tom.",,"Los Angeles, Calif.|Sun & Moon Press|1993-",0,1993,v.1,,Fiction,The crimson bears,1993,0.9954528066817647,1
pst.000023270350_1,pst.000023270350,53342,fantasy_loc,"Lee, Tanith.",,s.l.|Guild America Books|1993.,1993,1993,,"Paradys (Imaginary place)|Fiction|Fantasy fiction, English",NotFiction,The book of the dead ; The book of the mad,1993,0.9820305062440535,1
pst.000050247585_1,pst.000050247585,52181,fantasy_loc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Barnes & Noble|1996.,1996,1996,,"Fantasy fiction, English|Science fiction, English",Fiction,The sentinel,1996,0.9988929708751281,1
